Name	Pinnacle height	Structure type	Main use	Country	Town
Pinnacle Towers Tower Moody	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Moody, Texas
Clear Channel Broadcasting Tower Rosinton	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Rosinton, Alabama
Pacific and Southern Company Tower Lugoff	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Lugoff, South Carolina
Young Broadcasting Tower Garden City	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Garden City, South Dakota
Gray Television Tower Carlos	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Carlos, Texas
South Dakota Public Broadcasting Network Tower	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Faith, South Dakota
Spectra Site Communications Tower Orange City	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Orange City, Florida
Christmas Brown Road Tower	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Christmas, Florida
Gray Television Tower Madill	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Madill, Oklahoma
American Tower Christmas	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Christmas, Florida
Richland Towers Bithlo	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Bithlo, Florida
Northland Television Tower Rhinelander	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Rhinelander, Wisconsin
Gray Television Tower Moody	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Moody, Texas
KFVS TV Mast	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Cape Girardeau County, Missouri
Taipei 101	m (ft)	Skyscraper	Office, observation, VHF-UHF transmission	Taiwan	Taipei
Cox Radio Tower Verna	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Verna, Florida
WMTW TV Mast	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Baldwin, Maine
American Towers Tower Cedar Hill	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Cedar Hill, Texas
American Towers Tower Oklahoma City	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Oklahoma City, Oklahoma
University of North Carolina Tower	m (ft)	Guyed mast	VHF-UHF transmission	U.S.	Columbia, North Carolina
