Year	Winner	Runner-up	Venue	Location
1938	Vene Savage	Ed C. Kingsley	The Country Club of Lincoln	Lincoln, Nebraska
1937	Don Schumacher	Eddie Held	Cherry Hills Country Club	Cherry Hills Village, Colorado
1936	Johnny Dawson	George Matson	Wichita Country Club	Wichita, Kansas
1935	Johnny Goodman	Johnny Dawson	Wakonda Country Club	Des Moines, Iowa
1934	Leland Hamman	Johnny Goodman	Brook Hollow Golf Club	Dallas, Texas
1933	Gus Moreland	Lawson Little	Broadmoor Golf Club	Colorado Springs, Colorado
1932	Gus Moreland	David Goldman	Oklahoma City Golf & Country Club	Oklahoma City, Oklahoma
1931	Johnny Goodman	Les Bolstad	Golden Valley Country Club	Golden Valley, Minnesota
1930	Robert McCrary	James Manion	Broadmoor Golf Club	Colorado Springs, Colorado
1929	Robert McCrary	L.B. Maytag	Omaha Field Club	Omaha, Nebraska
1928	Arthur Bartlett	B.O. Winter	Wakonda Country Club	Des Moines, Iowa
1927	Johnny Goodman	James Ward	Broadmoor Golf Club	Colorado Springs, Colorado
1926	Eddie Held	Johnny Dawson	Algonquin Golf Club	Saint Louis, Missouri
1925	Clarence Wolff	Arthur Bartlett	Omaha Field Club	Omaha, Nebraska
1924	James Manion	Lawson Watts	St. Joseph Country Club	St. Joseph, Missouri
1923	Eddie Held	Richard Bockenkamp	The Minikahda Club	Minneapolis, Minnesota
1922	R. Knepper	George Von Elm	Omaha Country Club	Omaha, Nebraska
1921	George Von Elm	L.D. Brownfield	Denver Country Club	Denver, Colorado
1920	Robert McKee	Clarence Wolff	Rock Island Arsenal Golf Club	Rock Island, Illinois
1919	Nelson Whitney	Richard Bockenkamp	St Louis Country Club	Saint Louis, Missouri
1918	G.L. Conley	Frank Griggs	Hillcrest Country Club	Kansas City, Missouri
1917	Sam W. Reynolds	Harry G. Legg	St. Joseph Country Club	St. Joseph, Missouri
1916	Harry G. Legg	W.J. Hubbell	Interlachen Country Club	Edina, Minnesota
1915	Alden B. Swift	Harry G. Legg	Memphis Country Club	Memphis, Tennessee
1914	J.D. Cady	H.A. McLaughlin	Evanston Golf Club	Kansas City, Missouri
1913	Stuart Stickney	Ralph Rider	Glen Echo Country Club	Saint Louis, Missouri
1912	Harry G. Legg	W.D. Middleton	The Minikahda Club	Minneapolis, Minnesota
1911	Harry G. Legg	Ralph Rider	Omaha Country Club	Omaha, Nebraska
1910	Harry G. Legg	William Sheehan	Denver Country Club	Denver, Colorado
1909	Harry G. Legg	B.F. Guinand	Des Moines Golf & Country Club	Des Moines, Iowa
1908	E.H. Seaver	Harry G. Legg	Evanston Golf Club	Kansas City, Missouri
1907	Sprague Abbot	Harry G. Legg	Rock Island Arsenal Golf Club	Rock Island, Illinois
1906	C.T. Jaffray	F.W. McCartney	Omaha Field Club	Omaha, Nebraska
1905	Warren Dickinson	Walter Fairbanks	Glen Echo Country Club	Saint Louis, Missouri
1904	H.P. Bend	J.T. Stewart	The Minikahda Club	Minneapolis, Minnesota
1903	John Maxwell	P.H. Finkbank	Waveland Park Golf Club	Des Moines, Iowa
1902	R.R. Kimball	Warren Dickinson	Omaha Country Club	Omaha, Nebraska
1901	John Stuart	Warren Dickinson	Kansas City Country Club	Kansas City, Missouri
