#	Title	Author	Doctor	Featuring companion	Published	ISBN	Audiobook narrator
41	The King's Dragon	Una McCormack	11th	Amy Pond & Rory Williams	8 July 2010	ISBN 1-84607-990-X	Nicholas Briggs
42	The Glamour Chase	Gary Russell	11th	Amy Pond & Rory Williams	8 July 2010	ISBN 1-84607-988-8	Arthur Darvill
S1	The Coming of the Terraphiles	Michael Moorcock	11th	Amy Pond	14 October 2010	ISBN 1-84607-983-7	Clive Mantle
43	Dead of Winter	James Goss	11th	Amy Pond & Rory Williams	28 April 2011	ISBN 1-84990-238-0	Clare Corbett
44	The Way Through the Woods	Una McCormack	11th	Amy Pond & Rory Williams	28 April 2011	ISBN 1-84990-237-2	Clare Corbett
45	Hunter's Moon	Paul Finch	11th	Amy Pond & Rory Williams	28 April 2011	ISBN 1-84990-236-4	Arthur Darvill
46	Touched by an Angel	Jonathan Morris	11th	Amy Pond & Rory Williams	23 June 2011	ISBN 1-84990-234-8	Clare Corbett
47	Paradox Lost	George Mann	11th	Amy Pond & Rory Williams	23 June 2011	ISBN 1-84990-235-6	Nicholas Briggs
48	Borrowed Time	Naomi Alderman	11th	Amy Pond & Rory Williams	23 June 2011	ISBN 1-84990-233-X	Meera Syal
S2	The Silent Stars Go By	Dan Abnett	11th	Amy Pond & Rory Williams	29 September 2011	ISBN 1-84990-243-7	Michael Maloney
S3	Dark Horizons	J T Colgan	11th	None	7 July 2012	ISBN 1-84990-456-1	Neve McIntosh
