Entrant	Constructor	Chassis	Engine	Driver	Rounds
Vandervell Products	Vanwall	VW 5	Vanwall 254 2.5 L4	Tony Brooks	2–3, 5–11
Vandervell Products	Vanwall	VW 5	Vanwall 254 2.5 L4	Stuart Lewis-Evans	2–3, 5–7, 9–11
Maria Teresa de Filippis	Maserati	250F	Maserati 250F1 2.5 L6	Maria Teresa de Filippis	2, 5, 10
Giorgio Scarlatti	Maserati	250F	Maserati 250F1 2.5 L6	Giorgio Scarlatti	2–3
Giorgio Scarlatti	Maserati	250F	Maserati 250F1 2.5 L6	Jo Bonnier	6
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Gerino Gerini	2, 6–7, 10–11
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Maurice Trintignant	5
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Masten Gregory	5
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Wolfgang Seidel	5, 11
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Carroll Shelby	6–7, 10
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Troy Ruttman	6, 8
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Jo Bonnier	8
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Hans Herrmann	8
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Cliff Allison	9
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Maria Teresa de Filippis	9
Scuderia Centro Sud	Cooper - Climax	T43	Climax FPF 1.5 L4	Wolfgang Seidel	8
OSCA Automobili	OSCA	F2	OSCA 372 1.5 L4	Giulio Cabianca	2
OSCA Automobili	OSCA	F2	OSCA 372 1.5 L4	Luigi Piotti	2
André Testut	Maserati	250F	Maserati 250F1 2.5 L6	André Testut	2
André Testut	Maserati	250F	Maserati 250F1 2.5 L6	Louis Chiron	2
Ecurie Maarsbergen	Porsche	RSK	Porsche 547/3 1.5 F4	Carel Godin de Beaufort	3
Ecurie Maarsbergen	Porsche	RS550	Porsche 547/3 1.5 F4	Carel Godin de Beaufort	8
Juan Manuel Fangio	Maserati	250F	Maserati 250F1 2.5 L6	Juan Manuel Fangio	6
Dick Gibson	Cooper - Climax	T43	Climax FPF 1.5 L4	Dick Gibson	8
Dr Ing F. Porsche KG	Porsche	RSK	Porsche 547/3 1.5 F4	Edgar Barth	8
High Efficiency Motors	Cooper - Climax	T43	Climax FPF 1.5 L4	Ian Burgess	8
Ecurie Eperon d'Or	Cooper - Climax	T43	Climax FPF 1.5 L4	Christian Goethals	8
Ecurie Demi Litre	Lotus - Climax	12	Climax FPF 1.5 L4	Ivor Bueb	8
J.B. Naylor	Cooper - Climax	T45	Climax FPF 1.5 L4	Brian Naylor	8
Tony Marsh	Cooper - Climax	T45	Climax FPF 1.5 L4	Tony Marsh	8
Temple Buell	Maserati	250F	Maserati 250F1 2.5 L6	Carroll Shelby	9–10
Temple Buell	Maserati	250F	Maserati 250F1 2.5 L6	Masten Gregory	10–11
André Guelfi	Cooper - Climax	T45	Climax FPF 1.5 L4	André Guelfi	11
British Racing Partnership	Cooper - Climax	T45	Climax FPF 1.5 L4	Tom Bridger	11
Robert La Caze	Cooper - Climax	T45	Climax FPF 1.5 L4	Robert La Caze	11
