County	Per capita income	Median household income	Median family income	Population	Number of households
Lincoln	$23,084	$41,071	$50,547	3,241	1,423
Wabaunsee	$23,072	$52,133	$61,823	7,053	2,737
Comanche	$22,974	$34,808	$50,938	1,891	824
Rawlins	$22,895	$39,797	$50,750	2,519	1,176
Harvey	$22,890	$46,604	$59,788	34,684	13,411
Morton	$22,862	$42,273	$55,145	3,233	1,250
Kingman	$22,861	$44,510	$55,152	7,858	3,227
Logan	$22,856	$39,375	$57,000	2,756	1,219
Gove	$22,775	$41,295	$47,561	2,695	1,154
Osage	$22,697	$48,594	$57,124	16,295	6,552
Ottawa	$22,665	$50,814	$59,750	6,091	2,456
Sherman	$22,651	$41,570	$49,135	6,010	2,608
Gray	$22,606	$52,824	$59,867	6,006	2,153
Osborne	$22,536	$34,797	$47,250	3,858	1,742
Nemaha	$22,484	$46,134	$57,083	10,178	4,115
Linn	$22,472	$44,379	$53,167	9,656	4,020
Harper	$22,467	$38,168	$46,335	6,034	2,545
Jewell	$22,443	$37,759	$47,431	3,077	1,450
Franklin	$22,294	$49,459	$58,941	25,992	10,104
Reno	$22,149	$41,431	$49,490	64,511	25,794
Trego	$22,095	$39,655	$51,250	3,001	1,358
Dickinson	$22,009	$46,457	$56,779	19,754	8,073
Decatur	$21,966	$35,383	$44,338	2,961	1,378
Haskell	$21,966	$45,859	$60,216	4,256	1,510
Chase	$21,890	$40,372	$54,554	2,790	1,150
Phillips	$21,870	$44,381	$54,193	5,642	2,432
Doniphan	$21,704	$43,410	$53,226	7,945	3,136
Ellsworth	$21,704	$42,200	$54,071	6,497	2,463
Stevens	$21,633	$50,517	$54,832	5,724	2,044
Chautauqua	$21,613	$35,848	$49,043	3,669	1,612
Greenwood	$21,325	$37,180	$49,336	6,689	2,988
Marshall	$21,295	$43,125	$56,261	10,117	4,300
Marion	$21,166	$45,713	$55,861	12,660	5,005
Montgomery	$21,037	$40,603	$51,264	35,471	14,382
Labette	$21,021	$39,049	$48,924	21,607	8,822
Atchison	$20,995	$44,175	$52,908	16,924	6,241
Finney	$20,976	$50,454	$56,747	36,776	12,359
Elk	$20,958	$33,455	$40,463	2,882	1,284
Kearny	$20,888	$46,435	$50,029	3,977	1,400
Hodgeman	$20,859	$41,127	$54,688	1,916	803
Cowley	$20,720	$40,749	$51,655	36,311	13,940
Geary	$20,709	$45,559	$50,195	34,362	12,690
Washington	$20,577	$39,698	$51,673	5,799	2,474
Anderson	$20,558	$40,428	$47,018	8,102	3,260
Wichita	$20,375	$44,318	$50,492	2,234	891
Allen	$20,195	$41,546	$51,855	13,371	5,475
Hamilton	$20,190	$36,297	$37,813	2,690	1,060
Cherokee	$20,075	$38,154	$48,319	21,603	8,625
Riley	$19,999	$39,257	$56,683	71,115	25,796
Crawford	$19,753	$35,286	$49,297	39,134	15,729
Brown	$19,555	$37,525	$46,646	9,984	4,094
Cheyenne	$19,460	$31,186	$47,386	2,726	1,260
Kiowa	$19,430	$37,292	$44,222	2,553	1,014
Ford	$19,348	$46,621	$52,211	33,848	11,145
Rice	$19,316	$43,164	$51,011	10,083	3,906
Stanton	$19,196	$49,612	$51,520	2,235	825
Norton	$19,080	$32,016	$56,773	5,671	2,163
Wyandotte	$18,827	$38,503	$47,653	157,505	58,399
Wilson	$18,708	$39,301	$48,207	9,409	3,933
Cloud	$18,690	$35,838	$44,679	9,533	3,910
Neosho	$18,683	$36,702	$48,652	16,512	6,645
Bourbon	$18,596	$38,045	$48,003	15,173	5,986
Lyon	$18,245	$36,921	$48,766	33,690	13,303
Seward	$18,083	$41,373	$46,434	22,952	7,460
Pawnee	$17,927	$40,048	$48,364	6,973	2,665
