County	Kerry%	Kerry#	Bush%	Bush#	Others%	Others#
Perry	45.8%	4,770	53.6%	5,589	0.6%	66
Piatt	36.4%	3,124	62.8%	5,392	0.8%	70
Pike	35.7%	2,849	63.1%	5,032	1.2%	99
Pope	37.7%	918	61.6%	1,500	0.7%	18
Pulaski	44.1%	1,372	55.3%	1,720	0.5%	16
Putnam	50.8%	1,704	48.4%	1,623	0.7%	25
Randolph	45.3%	6,771	54.0%	8,076	0.7%	109
Richland	32.6%	2,529	66.5%	5,153	0.9%	67
Rock Island	57.0%	39,880	42.4%	29,663	0.6%	429
St. Clair	55.1%	62,410	44.4%	50,203	0.5%	576
Saline	39.8%	4,697	59.7%	7,057	0.5%	60
Sangamon	40.5%	38,630	58.6%	55,904	0.9%	841
Schuyler	39.5%	1,594	59.6%	2,403	0.8%	34
Scott	35.2%	927	64.3%	1,696	0.5%	13
Shelby	35.4%	3,744	63.8%	6,753	0.8%	80
Stark	38.8%	1,189	60.1%	1,841	1.0%	31
Stephenson	41.8%	8,913	57.3%	12,212	0.9%	195
Tazewell	41.4%	25,814	57.8%	36,058	0.7%	466
Union	41.0%	3,735	58.5%	5,333	0.6%	51
Vermilion	43.7%	14,726	55.6%	18,731	0.8%	257
Wabash	29.2%	1,752	70.1%	4,212	0.7%	42
Warren	46.6%	3,938	52.9%	4,474	0.5%	45
Washington	36.8%	2,986	62.6%	5,072	0.6%	46
Wayne	25.8%	2,139	73.6%	6,102	0.6%	46
White	37.0%	3,071	62.4%	5,180	0.6%	50
Whiteside	51.1%	13,723	48.2%	12,959	0.7%	191
Will	46.9%	115,625	52.4%	129,098	0.7%	1,686
Williamson	39.0%	11,685	60.4%	18,086	0.6%	189
Winnebago	49.2%	59,740	50.1%	60,782	0.7%	903
Woodford	31.9%	6,005	67.5%	12,698	0.5%	99
