Year	Regular Season Champion(s)	Record	Tournament Champion	Tournament venue	Tournament city
1951–52	West Virginia	15–1	NC State	Reynolds Coliseum	Raleigh, North Carolina
1952–53	NC State	13–3	Wake Forest	Reynolds Coliseum	Raleigh, North Carolina
1953–54	George Washington	10–0	George Washington	WVU Field House	Morgantown, West Virginia
1954–55	West Virginia	9–1	West Virginia	Richmond Arena	Richmond, Virginia
1955–56	George Washington West Virginia	10–2	West Virginia	Richmond Arena	Richmond, Virginia
1956–57	West Virginia	12–0	West Virginia	Richmond Arena	Richmond, Virginia
1957–58	West Virginia	12–0	West Virginia	Richmond Arena	Richmond, Virginia
1958–59	West Virginia	12–0	West Virginia	Richmond Arena	Richmond, Virginia
1959–60	Virginia Tech	12–1	West Virginia	Richmond Arena	Richmond, Virginia
1960–61	West Virginia	11–1	George Washington	Richmond Arena	Richmond, Virginia
1961–62	West Virginia	12–1	West Virginia	Richmond Arena	Richmond, Virginia
1962–63	West Virginia	11–2	West Virginia	Richmond Arena	Richmond, Virginia
1963–64	Davidson	9–2	VMI	Charlotte Coliseum I	Charlotte, North Carolina
1964–65	Davidson	12–0	West Virginia	Charlotte Coliseum I	Charlotte, North Carolina
1965–66	Davidson	11–1	Davidson	Charlotte Coliseum I	Charlotte, North Carolina
1966–67	West Virginia	9–1	West Virginia	Charlotte Coliseum I	Charlotte, North Carolina
1967–68	Davidson	9–1	Davidson	Charlotte Coliseum I	Charlotte, North Carolina
1968–69	Davidson	9–0	Davidson	Charlotte Coliseum I	Charlotte, North Carolina
1969–70	Davidson	10–0	Davidson	Charlotte Coliseum I	Charlotte, North Carolina
1970–71	Davidson	9–1	Furman	Charlotte Coliseum I	Charlotte, North Carolina
1971–72	Davidson	8–2	East Carolina	Greenville Memorial Auditorium	Greenville, South Carolina
1972–73	Davidson	9–1	Furman	Richmond Coliseum	Richmond, Virginia
1973–74	Furman	11–1	Furman	Richmond Coliseum	Richmond, Virginia
1974–75	Furman	12–0	Furman	Greenville Memorial Auditorium	Greenville, South Carolina
1975–76	VMI	9–3	VMI	Greenville Memorial Auditorium	Greenville, South Carolina
1976–77	Furman VMI	8–2	VMI	Roanoke Civic Center	Roanoke, Virginia
1977–78	Appalachian State	9–3	Furman	Roanoke Civic Center	Roanoke, Virginia
1978–79	Appalachian State	11–3	Appalachian State	Roanoke Civic Center	Roanoke, Virginia
1979–80	Furman	14–1	Furman	Roanoke Civic Center	Roanoke, Virginia
1980–81	Appalachian State Davidson Chattanooga	11–5	Chattanooga	Roanoke Civic Center	Roanoke, Virginia
1981–82	Chattanooga	15–1	Chattanooga	Charleston Civic Center	Charleston, West Virginia
1982–83	Chattanooga	15–1	Chattanooga	Charleston Civic Center	Charleston, West Virginia
1983–84	Marshall	13–3	Marshall	Asheville Civic Center	Asheville, North Carolina
1984–85	Chattanooga	14–2	Marshall	Asheville Civic Center	Asheville, North Carolina
1985–86	Chattanooga	12–4	Davidson	Asheville Civic Center	Asheville, North Carolina
1986–87	Marshall	15–1	Marshall	Asheville Civic Center	Asheville, North Carolina
1987–88	Marshall	14–2	Chattanooga	Asheville Civic Center	Asheville, North Carolina
1988–89	Chattanooga	10–4	East Tennessee State	Asheville Civic Center	Asheville, North Carolina
1989–90	East Tennessee State	12–2	East Tennessee State	Asheville Civic Center	Asheville, North Carolina
1990–91	Furman East Tennessee State Chattanooga	11–3	East Tennessee State	Asheville Civic Center	Asheville, North Carolina
1991–92	East Tennessee State Chattanooga	12–2	East Tennessee State	Asheville Civic Center	Asheville, North Carolina
1992–93	Chattanooga	16–2	Chattanooga	Asheville Civic Center	Asheville, North Carolina
1993–94	Chattanooga	14–4	Chattanooga	Asheville Civic Center	Asheville, North Carolina
