Mountain	Height (m)	Height (ft)	Range	Prominence (m)	Parent mountain	First ascent
Kamet	7,756	25,446	Garhwal Himalaya	2,825	Nanda Devi	1931
Dhaulagiri II	7,751	25,430	Dhaulagiri Himalaya	2,396	Dhaulagiri	1971
Saltoro Kangri /K10	7,742	25,400	Saltoro Karakoram	2,160	Gasherbrum I	1962
Jannu	7,711	25,299	Kangchenjunga Himalaya	1,036	Kangchenjunga	1962
Tirich Mir	7,708	25,289	Hindu Kush	3,910	Batura Sar	1950
Molamenqing	7,703	25,272	Langtang Himalaya	430	Shishapangma	1981
Gurla Mandhata	7,694	25,243	Nalakankar Himalaya	2,788	Dhaulagiri	1985
Saser Kangri I/K22	7,672	25,171	Saser Karakoram	2,304	Gasherbrum I	1973
Chogolisa	7,665	25,148	Masherbrum Karakoram	1,624	Masherbrum	1975
Dhaulagiri IV	7,661	25,135	Dhaulagiri Himalaya	469	Dhaulagiri II	1975
Kongur Tagh	7,649	25,095	Kongur Shan Kunlun	3,585	Distaghil Sar	1981
Dhaulagiri V	7,618	24,993	Dhaulagiri Himalaya	340	Dhaulagiri IV	1975
Shispare	7,611	24,970	Batura Karakoram	1,240	Batura Sar	1974
Trivor	7,577	24,859	Hispar Karakoram	980	Distaghil Sar	1960
Gangkhar Puensum	7,570	24,836	Kula Kangri Himalaya	2,995	Kangchenjunga	unclimbed
Gongga Shan / Minya Konka	7,556	24,790	Daxue Shan	3,642	Mount Everest	1932
Annapurna III	7,555	24,787	Annapurna Himalaya	703	Annapurna I	1961
Muztagh Ata	7,546	24,757	Muztagata Kunlun	2,735	Kongur Tagh	1956
Skyang Kangri	7,545	24,754	Baltoro Karakoram	1,085	K2	1976
Changtse	7,543	24,747	Mahalangur Himalaya	520	Mount Everest	1982
Kula Kangri	7,538	24,731	Kula Kangri Himalaya	1,650	Gangkhar Puensum	1986
Kongur Tiube	7,530	24,705	Kongur Shan Kunlun	840	Kongur Tagh	1956
Mamostong Kangri	7,516	24,659	Rimo Karakoram	1,803	Gasherbrum I	1984
Saser Kangri II E	7,513	24,649	Saser Karakoram	1,450	Saser Kangri I	2011
Ismoil Somoni Peak	7,495	24,590	Pamir ( Akademiya Nauk Range )	3,402	Muztagh Ata	1933
Saser Kangri III	7,495	24,590	Saser Karakoram	850	Saser Kangri I	1986
Noshaq	7,492	24,580	Hindu Kush	2,024	Tirich Mir	1960
Pumari Chhish	7,492	24,580	Hispar Karakoram	890	Khunyang Chhish	1979
Pasu Sar	7,476	24,528	Batura Karakoram	645	Batura Sar	1994
Yukshin Gardan Sar	7,469	24,505	Hispar Karakoram	1,313	Pumari Chhish	1984
Teram Kangri I	7,462	24,482	Siachen Karakoram	1,702	Gasherbrum I	1975
Jongsong Peak	7,462	24,482	Kangchenjunga Himalaya	1,298	Kangchenjunga	1930
Malubiting	7,458	24,469	Rakaposhi-Haramosh Karakoram	2,193	Rakaposhi	1971
Gangapurna	7,455	24,459	Annapurna Himalaya	563	Annapurna III	1965
Jengish Chokusu / Tömür/Pk Pobeda	7,439	24,406	Tian Shan	4,148	Ismail Samani Peak	1938
K12	7,428	24,370	Saltoro Karakoram	1,978	Saltoro Kangri	1974
Yangra / Ganesh I	7,422	24,350	Ganesh Himalaya	2,352	Manaslu	1955
Sia Kangri	7,422	24,350	Siachen Karakoram	640	Gasherbrum I	1934
Momhil Sar	7,414	24,324	Hispar Karakoram	980	Trivor	1964
Kabru N	7,412	24,318	Kangchenjunga Himalaya	780	Kangchenjunga	1994
Skil Brum	7,410	24,311	Baltoro Karakoram	1,152	K2	1957
Haramosh	7,409	24,308	Rakaposhi Karakoram	2,277	Malubiting	1958
Istor-o-Nal	7,403	24,288	Hindu Kush	1,040	Noshaq	1969
Ghent Kangri	7,401	24,281	Saltoro Karakoram	1,493	Saltoro Kangri	1961
Ultar Sar	7,388	24,239	Batura Karakoram	700	Shispare	1996
Rimo I	7,385	24,229	Rimo Karakoram	1,438	Teram Kangri I	1988
Churen Himal	7,385	24,229	Dhaulagiri Himalaya	600	Dhaulagiri IV	1970
Teram Kangri III	7,382	24,219	Siachen Karakoram	520	Teram Kangri I	1979
Sherpi Kangri	7,380	24,213	Saltoro Karakoram	1,000	Ghent Kangri	1976
Labuche Kang	7,367	24,170	Labuche Himalaya	1,957	Cho Oyu	1987
Kirat Chuli	7,362	24,153	Kangchenjunga Himalaya	1,168	Kangchenjunga	1939
Abi Gamin	7,355	24,131	Garhwal Himalaya	217	Kamet	1950
Nangpai Gosum	7,350	24,114	Mahalangur Himalaya	500	Cho Oyu	1996
Gimmigela / The Twins	7,350	24,114	Kangchenjunga Himalaya	432	Kangchenjunga	1994
Saraghrar	7,349	24,111	Hindu Kush	1,979	Noshaq	1959
Jomolhari	7,326	24,035	Jomolhari Himalaya	2,077	Gangkhar Puensum	1937
Chamlang	7,321	24,019	Mahalangur Himalaya	1,240	Lhotse	1961
Chongtar	7,315	23,999	Baltoro Karakoram	1,300	Skil Brum	1994
Baltoro Kangri	7,312	23,990	Masherbrum Karakoram	1,200	Chogolisa	1976
Siguang Ri	7,309	23,980	Mahalangur Himalaya	650	Cho Oyu	1989
The Crown / Huang Guan	7,295	23,934	Yengisogat Karakoram	1,919	Skil Brum ( K2 )	1993
Gyala Peri	7,294	23,930	Assam Himalaya	2,942	Mount Everest	1986
Porong Ri	7,292	23,924	Langtang Himalaya	520	Shisha Pangma	1982
Baintha Brakk / The Ogre	7,285	23,901	Panmah Karakoram	1,891	Kanjut Sar	1977
Yutmaru Sar	7,283	23,894	Hispar Karakoram	620	Yukshin Gardan Sar	1980
Baltistan Peak/ K6	7,282	23,891	Masherbrum Karakoram	1,962	Chogolisa	1970
Kangpenqing / Gang Benchhen	7,281	23,888	Baiku Himalaya	1,340	Shisha Pangma	1982
Muztagh Tower	7,276	23,871	Baltoro Karakoram	1,710	Skil Brum	1956
Mana	7,272	23,858	Garhwal Himalaya	730	Kamet	1937
Dhaulagiri VI	7,268	23,845	Dhaulagiri Himalaya	485	Dhaulagiri IV	1970
Diran	7,266	23,839	Rakaposhi-Haramosh Karakoram	1,325	Malubiting	1968
Labuche Kang III/East	7,250	23,786	Labuche Himalaya	570	Labuche Kang	unclimbed
Putha Hiunchuli	7,246	23,773	Dhaulagiri Himalaya	1,151	Churen Himal	1954
Apsarasas Kangri	7,245	23,770	Siachen Karakoram	635	Teram Kangri I	1976
Mukut Parbat	7,242	23,760	Garhwal Himalaya	840	Kamet	1951
Rimo III	7,233	23,730	Rimo Karakoram	615	Rimo I	1985
Langtang Lirung	7,227	23,711	Langtang Himalaya	1,525	Shisha Pangma	1978
Karjiang	7,221	23,691	Kula Kangri Himalaya	880	Kula Kangri	unclimbed
Annapurna Dakshin	7,219	23,684	Annapurna Himalaya	775	Annapurna	1964
Khartaphu	7,213	23,665	Mahalangur Himalaya	712	Mount Everest	1935
Tongshanjiabu	7,207	23,645	Lunana Himalaya	1,757	Gangkar Puensum	unclimbed
Malangutti Sar	7,207	23,645	Hispar Karakoram	515	Distaghil Sar	1985
Noijin Kangsang / Norin Kang	7,206	23,642	Nagarze Himalaya	2,160	Tongshanjiabu	1986
Langtang Ri	7,205	23,638	Langtang Himalaya	650	Porong Ri	1981
Kangphu Kang	7,204	23,635	Lunana Himalaya	1,200	Tongshanjiabu	2002
Singhi Kangri	7,202	23,629	Siachen Karakoram	790	Teram Kangri III	1976
Lupghar Sar	7,200	23,622	Hispar Karakoram	730	Momhil Sar	1979
