Urban area (locality)	Municipality	Population	Land area (hectares)	Density (inh./km²)	Code
Blomstermåla	Mönsterås Municipality	1527	253.19	603.10	2120
Blåsmark	Piteå Municipality	339	64.17	528.28	8540
Blötberget	Ludvika Municipality	428	131.87	324.56	6432
Bockara	Oskarshamn Municipality	316	79.96	395.20	2124
Boda	Rättvik Municipality	541	210.53	256.97	6436
Bodafors	Nässjö Municipality	1886	253.96	742.64	1424
Boden	Boden Municipality	18277	1997.74	914.88	8544
Boholmarna	Kalmar Municipality	297	46.76	635.16	2130
Boliden	Skellefteå Municipality	1566	194.43	805.43	8132
Bollebygd	Bollebygd Municipality	3566	256.74	1388.95	4744
Bollnäs	Bollnäs Municipality	12842	1287.35	997.55	7036
Bollstabruk	Kramfors Municipality	1871	443.67	421.71	7432
Bonäs	Mora Municipality	457	92.36	494.80	6440
Boo	Nacka Municipality	24052	1625.93	1479.28	104
Bor	Värnamo Municipality	1256	157.36	798.17	1428
Borensberg	Motala Municipality	2886	240.25	1201.25	1028
Borggård	Finspång Municipality	238	42.30	562.65	1032
Borgholm	Borgholm Municipality	3071	255.76	1200.74	2132
Borgstena	Borås Municipality	386	68.80	561.05	4748
Borlänge	Borlänge Municipality	41734	3435.53	1214.78	6444
Borrby	Simrishamn Municipality	930	88.11	1055.50	2820
Borås	Borås Municipality	66273	3139.65	2110.84	4752
Bosnäs	Borås Municipality	308	46.96	655.88	4310
Botsmark	Umeå Municipality	201	48.68	412.90	8136
Bottnaryd	Jönköping Municipality	713	83.30	855.94	1432
Bovallstrand	Sotenäs Municipality	474	81.04	584.90	4312
Boxholm	Boxholm Municipality	3194	439.43	726.85	1040
Brantevik	Simrishamn Municipality	409	68.94	593.27	2824
Brastad	Lysekil Municipality	1846	184.80	998.92	4316
Brattås	Kungsbacka Municipality	384	57.99	662.18	3910
Braås	Växjö Municipality	1547	170.95	904.94	1820
Bredared	Borås Municipality	227	30.61	741.59	4756
Bredaryd	Värnamo Municipality	1466	198.85	737.24	1436
Bredbyn	Örnsköldsvik Municipality	1186	234.33	506.12	7444
Bredsand	Enköping Municipality	465	84.61	549.58	612
Bredviken	Kalix Municipality	365	43.13	846.28	8556
Brevik	Lidingö Municipality	8772	396.79	2210.74	108
Brevikshalvön	Tyresö Municipality	2018	599.66	336.52	110
Bro	Upplands-Bro Municipality	7050	300.74	2344.22	112
Broaryd	Gislaved Municipality	271	69.10	392.19	1440
Broby	Östra Göinge Municipality	2920	368.49	792.42	2828
Brokind	Linköping Municipality	502	64.38	779.75	1044
Bromölla	Bromölla Municipality	7595	557.77	1361.67	2832
Brottby	Vallentuna Municipality	205	17.79	1152.33	116
Brunflo	Östersund Municipality	3890	284.76	1366.06	7812
Brunn	Värmdö Municipality	950	96.34	986.09	120
Brunna	Upplands-Bro Municipality	3925	177.39	2212.64	124
Brunnsberg	Älvdalen Municipality	222	120.92	183.59	6448
Bruzaholm	Eksjö Municipality	250	63.82	391.73	1444
Bräcke	Bräcke Municipality	1651	200.24	824.51	7816
Bräkne-Hoby	Ronneby Municipality	1689	207.36	814.53	2604
Brändön	Luleå Municipality	287	57.78	496.71	8558
Brännland	Umeå Municipality	220	28.21	779.87	8140
Brännö	Gothenburg Municipality	708	87.06	813.23	4322
Brålanda	Vänersborg Municipality	1385	152.47	908.38	4760
Brösarp	Tomelilla Municipality	680	82.25	826.75	2836
Bua	Varberg Municipality	1746	126.85	1376.43	3912
Buerås	Kungsbacka Municipality	708	56.74	1247.80	3914
Bullmark	Umeå Municipality	319	32.39	984.87	8142
Bunkeflostrand	Malmö Municipality	10386	362.78	2862.89	3372
Bureå	Skellefteå Municipality	2360	365.27	646.10	8144
Burgsvik	Gotland Municipality	338	93.67	360.84	2500
Burlövs egnahem	Burlöv Municipality	554	20.56	2694.55	3374
Burseryd	Gislaved Municipality	854	155.90	547.79	1452
Burträsk	Skellefteå Municipality	1575	184.41	854.08	8148
Buskhyttan	Nyköping Municipality	225	49.13	457.97	728
Butbro	Finspång Municipality	261	45.71	570.99	1206
Bygdeå	Robertsfors Municipality	502	73.72	680.95	8152
Bygdsiljum	Skellefteå Municipality	357	103.52	344.86	8156
Byske	Skellefteå Municipality	1728	320.52	539.12	8160
Bäckaskog	Kristianstad Municipality	293	38.01	770.85	2844
Bäckebo	Nybro Municipality	219	84.38	259.54	2144
Bäckefors	Bengtsfors Municipality	673	140.00	480.71	4768
Bäckhammar	Kristinehamn Municipality	284	90.88	312.50	5624
Bälgviken	Eskilstuna Municipality	253	39.30	643.77	730
Bälinge	Luleå Municipality	307	46.70	657.39	8564
Bälinge	Uppsala Municipality	2437	140.03	1740.34	524
Bärby	Uppsala Municipality	220	23.04	954.86	526
Bäsna	Gagnef Municipality	649	137.65	471.49	6456
Bålsta	Håbo Municipality	14147	1072.57	1318.98	520
Bårslöv	Helsingborg Municipality	2682	120.13	2232.58	3376
Båstad	Båstad Municipality	4961	626.62	791.71	2840
Båtskärsnäs	Kalix Municipality	296	95.69	309.33	8560
Böle	Piteå Municipality	424	94.03	450.92	8568
Bönan	Gävle Municipality	316	78.94	400.30	7038
Charlottenberg	Eda Municipality	2215	258.56	856.67	5628
Dalarö	Haninge Municipality	1199	167.52	715.74	132
Dalby	Lund Municipality	5708	329.40	1732.85	3380
Dals Långed	Bengtsfors Municipality	1520	257.48	590.34	4772
Dals Rostock	Mellerud Municipality	829	140.98	588.03	4776
Dalsjöfors	Borås Municipality	3362	287.90	1167.77	4780
Dalstorp	Tranemo Municipality	776	113.65	682.80	4784
Dalum	Ulricehamn Municipality	638	60.65	1051.94	4788
Danholn	Falun Municipality	440	76.87	572.39	6472
Dannemora	Östhammar Municipality	213	65.53	325.04	528
Dannike	Borås Municipality	369	40.57	909.54	4792
Degeberga	Kristianstad Municipality	1291	174.68	739.07	2848
Degerfors	Degerfors Municipality	7160	713.53	1003.46	5916
Degerhamn	Mörbylånga Municipality	331	103.20	320.74	2152
Deje	Forshaga Municipality	2742	365.54	750.12	5632
Delary	Älmhult Municipality	222	56.75	391.19	1828
Delsbo	Hudiksvall Municipality	2192	284.56	770.31	7040
Dingersjö	Sundsvall Municipality	856	61.49	1392.10	7446
Dingle	Munkedal Municipality	900	107.15	839.94	4324
Dingtuna	Västerås Municipality	1005	94.38	1064.84	6208
Diseröd	Kungälv Municipality	1241	74.95	1655.77	4328
Diö	Älmhult Municipality	910	156.64	580.95	1832
Djulö kvarn	Katrineholm Municipality	209	29.61	705.84	734
Djura	Leksand Municipality	364	83.19	437.55	6476
Djurmo	Gagnef Municipality	711	91.71	775.27	6480
Djurås	Gagnef Municipality	1278	157.40	811.94	6484
Djurö	Värmdö Municipality	967	92.37	1046.88	136
Docksta	Kramfors Municipality	378	79.50	475.47	7448
Domsten	Helsingborg Municipality	617	41.93	1471.50	3384
Donsö	Gothenburg Municipality	1407	96.99	1450.67	4332
Dorotea	Dorotea Municipality	1543	233.91	659.66	8168
Drag	Kalmar Municipality	274	62.24	440.23	2422
Drottningholm	Ekerö Municipality	398	147.06	270.64	140
Drängsmark	Skellefteå Municipality	333	53.97	617.01	8340
Dunö	Kalmar Municipality	384	50.31	763.27	2154
Duved	Åre Municipality	663	98.85	670.71	7820
Duvesjön	Kungälv Municipality	247	41.30	598.06	4562
Dvärsätt	Krokom Municipality	461	41.32	1115.68	7824
Dyvelsten	Forshaga Municipality	219	43.92	498.63	5634
Dösjebro	Kävlinge Municipality	858	57.10	1502.63	3388
Ed	Dals-Ed Municipality	2932	382.01	767.52	4796
Eda glasbruk	Eda Municipality	233	88.33	263.78	5636
Edane	Arvika Municipality	706	176.18	400.73	5640
Edsbro	Norrtälje Municipality	488	82.35	592.59	144
Edsbruk	Västervik Municipality	300	71.61	418.94	2156
Edsbyn	Ovanåker Municipality	3985	453.26	879.19	7044
Edsvalla	Karlstad Municipality	1016	145.54	698.09	5652
Eggby	Skara Municipality	231	28.10	822.06	5216
Ekeby	Bjuv Municipality	3230	303.46	1064.39	3392
Ekeby	Kumla Municipality	372	52.62	706.96	5920
Ekeby	Södertälje Municipality	1018	57.99	1755.48	148
Ekeby	Upplands Väsby Municipality	258	28.95	891.19	152
Ekeby-Almby	Örebro Municipality	1271	144.87	877.34	5924
Ekedalen	Tidaholm Municipality	404	53.77	751.35	5220
Ekenässjön	Vetlanda Municipality	1517	222.18	682.78	1456
Ekerö sommarstad	Ekerö Municipality	544	37.68	1443.74	151
Ekerö	Ekerö Municipality	10907	541.87	2012.84	150
Eket	Örkelljunga Municipality	409	74.52	548.85	2856
Ekshärad	Hagfors Municipality	1074	173.79	617.99	5724
Eksjö	Eksjö Municipality	9701	833.89	1163.34	1460
Eksund	Norrköping Municipality	206	22.22	927.09	1046
Ekängen	Linköping Municipality	2037	139.09	1464.52	1050
Eldsberga	Halmstad Municipality	720	95.10	757.10	3916
Ellös	Orust Municipality	998	120.83	825.95	4336
Emmaboda	Emmaboda Municipality	4824	591.36	815.75	2160
Emmaljunga	Hässleholm Municipality	262	86.50	302.89	2860
Emsfors	Oskarshamn Municipality Mönsterås Municipality	332	61.28	541.78	2164
Emtunga	Vara Municipality	273	30.99	880.93	5224
Eneryda	Älmhult Municipality	338	72.59	465.63	1840
Enhagen-Ekbacken	Västerås Municipality	1012	70.71	1431.20	6210
Enköping	Enköping Municipality	21121	1066.70	1980.03	532
Ensjön	Norrköping Municipality	333	22.84	1457.97	1054
Enstaberga	Nyköping Municipality	430	58.86	730.55	736
Enviken	Falun Municipality	609	124.59	488.80	6496
Enånger	Hudiksvall Municipality	642	130.98	490.15	7048
Eriksmåla	Emmaboda Municipality	231	93.86	246.11	2168
Eringsboda	Ronneby Municipality	299	65.10	459.29	2616
Ersmark	Skellefteå Municipality	892	147.85	603.31	8368
Ersmark	Umeå Municipality	1613	120.65	1336.92	8172
Ersnäs	Luleå Municipality	292	51.65	565.34	8576
Eskilsby och Snugga	Härryda Municipality	220	67.22	327.28	4334
Eskilstuna	Eskilstuna Municipality	64679	3104.97	2083.08	740
Eslöv	Eslöv Municipality	17748	914.02	1941.75	3396
Essvik	Sundsvall Municipality	752	119.01	631.88	7460
Evertsberg	Älvdalen Municipality	267	169.52	157.50	6500
Everöd	Kristianstad Municipality	885	124.28	712.10	2864
Fagerhult	Habo Municipality	316	76.42	413.50	5228
Fagerhult	Högsby Municipality	229	77.37	295.98	2172
Fagerhult	Uddevalla Municipality	353	34.51	1022.89	4338
Fagersanna	Tibro Municipality	539	81.33	662.73	5232
Fagersta	Fagersta Municipality	11130	946.86	1175.46	6212
Fagerås	Kil Municipality	427	76.81	555.92	5656
Falerum	Åtvidaberg Municipality	242	84.18	287.48	1048
Falkenberg	Falkenberg Municipality	20035	1484.82	1349.32	3920
Falköping	Falköping Municipality	16350	853.95	1914.63	5236
Falla	Finspång Municipality	467	71.42	653.88	1052
Falun	Falun Municipality	37291	2717.16	1372.43	6504
Fanbyn	Sundsvall Municipality	526	139.92	375.93	7462
Fellingsbro	Lindesberg Municipality	1384	230.48	600.49	5928
Fengersfors	Åmål Municipality	345	96.90	356.04	4800
Figeholm	Oskarshamn Municipality	743	85.36	870.43	2176
Filipstad	Filipstad Municipality	6022	650.78	925.35	5660
Filsbäck	Lidköping Municipality	615	52.69	1167.20	5240
Finja	Hässleholm Municipality	535	75.76	706.18	2868
Finkarby	Nykvarn Municipality	214	53.24	401.95	158
Finnerödja	Laxå Municipality	604	101.33	596.07	5932
Finspång	Finspång Municipality	12440	818.15	1520.50	1056
Finsta	Norrtälje Municipality	244	36.16	674.78	164
Fiskebäckskil	Lysekil Municipality	379	71.91	527.05	4340
Fisksätra	Nacka Municipality	7475	103.43	7227.11	156
Fjugesta	Lekeberg Municipality	2033	208.83	973.52	5936
Fjälkinge	Kristianstad Municipality	1690	134.81	1253.62	2872
Fjällbacka	Tanum Municipality	859	104.93	818.64	4344
Fjärdhundra	Enköping Municipality	951	108.35	877.71	536
Fjärås kyrkby	Kungsbacka Municipality	2321	143.79	1614.16	3928
Flen	Flen Municipality	6229	444.91	1400.06	744
Flisby	Nässjö Municipality	201	74.83	268.61	1464
Fliseryd	Mönsterås Municipality	677	133.84	505.83	2188
Floby	Falköping Municipality	1499	226.42	662.04	5244
Floda	Gagnef Municipality	680	196.58	345.92	6460
Floda	Lerum Municipality	8021	584.89	1371.37	4804
Flurkmark	Umeå Municipality	291	53.00	549.06	8174
Flygsfors	Nybro Municipality	226	68.33	330.75	2192
Flyinge	Eslöv Municipality	994	77.40	1284.24	3400
Flädie	Lomma Municipality	251	20.31	1235.84	3402
Fornåsa	Motala Municipality	433	47.21	917.18	1060
Fors	Avesta Municipality	827	125.67	658.07	6508
Forsbacka	Gävle Municipality	1702	171.72	991.15	7052
Forsby	Gävle Municipality	651	87.02	748.10	7050
Forserum	Nässjö Municipality	2039	195.25	1044.30	1468
Forshaga	Forshaga Municipality	6229	518.49	1201.37	5664
Forsheda	Värnamo Municipality	1459	148.52	982.36	1472
Forssjö	Katrineholm Municipality	537	63.28	848.61	748
Forsvik	Karlsborg Municipality	342	82.72	413.44	5248
Fotö	Öckerö Municipality	620	35.40	1751.41	4348
Fredrika	Åsele Municipality	215	116.67	184.28	8176
Fredriksberg	Ludvika Municipality	655	176.41	371.29	6512
Fredriksdal	Nässjö Municipality	310	46.58	665.52	1476
Fridafors	Tingsryd Municipality	221	82.61	267.52	1844
Fridlevstad	Karlskrona Municipality	713	93.17	765.27	2620
Friggesund	Hudiksvall Municipality	522	81.67	639.16	7056
Frillesås	Kungsbacka Municipality	2044	230.02	888.62	3932
Frinnaryd	Aneby Municipality	204	50.88	400.94	1480
Fristad	Borås Municipality	4924	510.96	963.68	4808
Fritsla	Mark Municipality	2293	326.66	701.95	4812
Frufällan	Borås Municipality	917	102.72	892.72	4816
Främmestad	Essunga Municipality	393	50.84	773.01	5250
Frändefors	Vänersborg Municipality	613	85.72	715.12	4820
Fränsta	Ånge Municipality	1256	230.12	545.80	7472
Frånö	Kramfors Municipality	640	247.56	258.52	7468
Frödinge	Vimmerby Municipality	383	84.85	451.38	2196
Frösakull	Halmstad Municipality	1635	205.53	795.50	3934
Frövi	Lindesberg Municipality	2516	365.61	688.16	5940
Funäsdalen	Härjedalen Municipality	890	175.45	507.27	7828
Furuby	Växjö Municipality	372	59.86	621.45	1852
Furudal	Rättvik Municipality	407	110.16	369.46	6516
Furulund	Kävlinge Municipality	4180	279.68	1494.57	3408
Furusjö	Habo Municipality	325	48.91	664.49	5252
Furuvik	Gävle Municipality	575	109.71	524.11	7060
Fyllinge	Halmstad Municipality	2927	247.29	1183.63	3935
Färgelanda	Färgelanda Municipality	1894	210.42	900.10	4828
Färila	Ljusdal Municipality	1293	247.30	522.85	7064
Färjestaden	Mörbylånga Municipality	5018	463.98	1081.51	2208
Färlöv	Kristianstad Municipality	1026	91.50	1121.31	2876
Färnäs	Mora Municipality	988	153.96	641.73	6524
Fågelfors	Högsby Municipality	424	117.32	361.40	2200
Fågelmara	Karlskrona Municipality	374	71.37	524.03	2624
Fågelsta	Motala Municipality	287	55.19	520.02	1064
Fågelvikshöjden	Värmdö Municipality	1043	48.93	2131.62	166
Fårbo	Oskarshamn Municipality	517	83.79	617.02	2204
Fårösund	Gotland Municipality	816	289.20	282.16	2504
Föllinge	Krokom Municipality	485	150.38	322.52	7836
Förslöv	Båstad Municipality	2085	184.00	1133.15	2880
Gagnef	Gagnef Municipality	1049	240.04	437.01	6528
Gamleby	Västervik Municipality	2775	317.87	873.00	2212
Gammelgården	Kalix Municipality	297	52.86	561.86	8578
Gammelstaden	Luleå Municipality	4960	619.93	800.09	8580
Gantofta	Helsingborg Municipality	1338	91.22	1466.78	3412
Garpenberg	Hedemora Municipality	518	153.25	338.01	6532
Garphyttan	Örebro Municipality	1619	172.14	940.51	5944
Geijersholm	Hagfors Municipality	222	28.96	766.57	5668
Gemla	Växjö Municipality	1342	241.23	556.32	1856
Genarp	Lund Municipality	2892	170.23	1698.88	3416
Genevad	Laholm Municipality	565	62.08	910.12	3936
Gessie villastad	Vellinge Municipality	497	44.35	1120.63	3438
Gesunda	Mora Municipality	229	81.33	281.57	6540
Getinge	Halmstad Municipality	1843	217.69	846.62	3940
Gideå	Örnsköldsvik Municipality	266	53.69	495.44	7476
Gimmersta	Tyresö Municipality	354	31.74	1115.31	170
Gimo	Östhammar Municipality	2688	313.25	858.10	540
Gimåt	Örnsköldsvik Municipality	903	62.78	1438.36	7480
Gislaved	Gislaved Municipality	10037	648.31	1548.18	1484
Gistad	Linköping Municipality	288	43.07	668.68	1068
Gladö kvarn	Huddinge Municipality	539	109.51	492.19	178
Glanshammar	Örebro Municipality	727	92.95	782.14	5948
Glemmingebro	Ystad Municipality	376	47.59	790.08	3424
Glimåkra	Östra Göinge Municipality	1383	185.68	744.83	2884
Glommen	Falkenberg Municipality	761	76.73	991.79	3944
Glommersträsk	Arvidsjaur Municipality	272	152.22	178.69	8584
Glumslöv	Landskrona Municipality	1994	124.20	1605.48	3428
Gnarp	Nordanstig Municipality	1026	201.64	508.83	7068
Gnesta	Gnesta Municipality Södertälje Municipality	5562	385.94	1441.16	752
Gnosjö	Gnosjö Municipality	4326	488.58	885.42	1488
Godegård	Motala Municipality	200	25.91	771.90	1070
Gonäs	Ludvika Municipality	357	103.36	345.39	6544
Gottne	Örnsköldsvik Municipality	218	57.37	379.99	7482
Grangärde	Ludvika Municipality	351	67.67	518.69	6548
Granö	Vindeln Municipality	238	98.14	242.51	8188
Graversfors	Norrköping Municipality	246	64.18	383.30	1074
Grebbestad	Tanum Municipality	1401	120.37	1163.91	4356
Grebo	Åtvidaberg Municipality	970	72.09	1345.54	1072
Grevie och Beden	Staffanstorp Municipality	241	42.69	564.54	2818
Grevie	Båstad Municipality	788	118.40	665.54	2888
Grillby	Enköping Municipality	972	85.42	1137.91	544
Grimslöv	Alvesta Municipality	593	71.21	832.75	1860
Grimstorp	Nässjö Municipality	344	44.57	771.82	1492
Grimsås	Tranemo Municipality	721	88.14	818.02	4832
Gripenberg	Tranås Municipality	292	53.61	544.67	1496
Grisslehamn	Norrtälje Municipality	249	122.24	203.70	168
Grums	Grums Municipality	5025	561.71	894.59	5676
Grundsund	Lysekil Municipality	627	70.84	885.09	4360
Grycksbo	Falun Municipality	1825	254.19	717.97	6552
Grytgöl	Finspång Municipality	263	71.89	365.84	1080
Grythyttan	Hällefors Municipality	891	152.37	584.76	5952
Gräfsnäs	Alingsås Municipality	367	81.11	452.47	4840
Grängesberg	Ludvika Municipality	3481	771.58	451.15	6556
Gränna	Jönköping Municipality	2553	152.27	1676.63	1500
Gränum	Olofström Municipality	223	36.63	608.79	2628
Grästorp	Grästorp Municipality	2969	224.83	1320.55	5260
Gråbo	Lerum Municipality	4195	230.91	1816.73	4836
Grödby	Nynäshamn Municipality	340	44.51	763.87	364
Gualöv	Bromölla Municipality	530	71.89	737.24	2892
Gubbo	Smedjebacken Municipality	215	54.04	397.85	6558
Gudhem	Falköping Municipality	427	34.21	1248.17	5264
Gullbrandstorp	Halmstad Municipality	1524	104.76	1454.75	3948
Gullbranna	Halmstad Municipality	704	50.85	1384.46	3952
Gulleråsen	Rättvik Municipality	333	186.82	178.25	6560
Gullringen	Vimmerby Municipality	541	144.35	374.78	2232
Gullspång	Gullspång Municipality	1167	173.94	670.92	5268
Gunnarskog	Arvika Municipality	290	80.58	359.89	5680
Gunnarstorp	Bjuv Municipality	401	42.22	949.79	3432
Gunnebo	Västervik Municipality	938	148.62	631.14	2236
Gunsta	Uppsala Municipality	380	29.91	1270.48	548
Gusselby	Lindesberg Municipality	300	86.02	348.76	5956
Gustavsberg	Sundsvall Municipality	254	46.32	548.36	7478
