Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	January 6, 1992	Sydney	Hard	Mary Joe Fernández	Arantxa Sánchez Vicario Helena Suková	6–7(4), 7–6(4), 2–6
Runner-up	January 13, 1992	Australian Open	Hard	Mary Joe Fernández	Arantxa Sánchez Vicario Helena Suková	4–6, 6–7(3)
Runner-up	February 10, 1992	Chicago	Carpet (I)	Katrina Adams	Martina Navratilova Pam Shriver	4–6, 6–7(7)
Runner-up	April 6, 1992	Amelia Island	Clay	Jana Novotná	Arantxa Sánchez Vicario Natasha Zvereva	1–6, 0–6
Runner-up	June 15, 1992	Eastbourne	Grass	Mary Joe Fernández	Jana Novotná Larisa Savchenko-Neiland	0–6, 3–6
Runner-up	August 10, 1992	Los Angeles	Hard	Pam Shriver	Arantxa Sánchez Vicario Helena Suková	4–6, 2–6
Winner	February 8, 1993	Chicago	Carpet (I)	Katrina Adams	Amy Frazier Kimberly Po	7–6(3), 6–3
Winner	February 15, 1993	Oklahoma City	Hard (I)	Patty Fendick	Katrina Adams Manon Bollegraf	6–3, 6–2
Runner-up	May 3, 1993	Rome	Clay	Mary Joe Fernández	Jana Novotná Arantxa Sánchez Vicario	4–6, 2–6
Winner	October 4, 1993	Zürich	Carpet (I)	Martina Navratilova	Gigi Fernández Natasha Zvereva	6–3, 5–7, 6–3
Runner-up	March 21, 1994	Houston	Clay	Katrina Adams	Manon Bollegraf Martina Navratilova	4–6, 2–6
Winner	June 6, 1994	Birmingham	Grass	Larisa Savchenko-Neiland	Catherine Barclay Kerry-Anne Guse	6–4, 6–4
Runner-up	October 30, 1995	Oakland	Carpet (I)	Katrina Adams	Lori McNeil Helena Suková	6–3, 4–6, 3–6
