Draft	Round	Pick	Player	Nationality
2007	3	75	Luca Cunti	Switzerland
2007	3	77	Alexander Killorn	Canada
2007	4	107	Mitch Fadden	Canada
2007	5	150	Matt Marshall	United States
2007	6	167	Johan Harju	Sweden
2007	7	183	Torrie Jung	Canada
2007	7	197	Michael Ward	Canada
2007	7	210	Justin Courtnall	Canada
2008	1	1	Steven Stamkos	Canada
2008	4	117	James Wright	Canada
2008	5	122	Dustin Tokarski	Canada
2008	5	147	Kyle De Coste	Canada
2008	6	152	Mark Barberio	Canada
2008	6	160	Luke Witkowski	United States
2008	7	182	Matias Sointu	Finland
2008	7	203	David Carle	United States
2009	1	2	Victor Hedman	Sweden
2009	1	29	Carter Ashton	Canada
2009	2	52	Richard Panik	Slovakia
2009	4	93	Alex Hutchings	Canada
2009	5	148	Michael Zadorv	Canada
2009	6	162	Jaroslav Janus	Slovakia
2009	7	183	Kirill Gotovets	Belarus
2010	1	6	Brett Connolly	Canada
2010	3	63	Brock Beukeboom	United States
2010	3	66	Radko Gudas	Czech Republic
2010	3	72	Adam Janosik	Slovakia
2010	4	96	Geoffrey Schemitsch	Canada
2010	4	118	Jimmy Mullin	United States
2010	6	156	Brendan O'Donnell	Canada
2010	7	186	Teigan Zahn	Canada
2011	1	27	Vladislav Namestnikov	Russia
2011	2	58	Nikita Kucherov	Russia
2011	5	148	Nikita Nesterov	Russia
2011	6	178	Adam Wilcox	United States
2011	7	201	Matthew Peca	Canada
2011	7	208	Ondrej Palat Category:Articles with hCards	Czech Republic
2012	1	10	Slater Koekkoek Category:Articles with hCards	Canada
2012	1	19	Andrei Vasilevski Category:Articles with hCards	Russia
2012	2	40	Dylan Blujus	United States
2012	2	53	Brian Hart	United States
2012	3	71	Tanner Richard Category:Articles with hCards	Switzerland
2012	4	101	Cedric Paquette	Canada
2012	6	161	Jake Dotchin	Canada
2012	7	202	Nikita Gusev Category:Articles with hCards	Russia
2013	1	3	Jonathan Drouin Category:Articles with hCards	Canada
2013	2	33	Adam Erne Category:Articles with hCards	United States
2013	5	124	Kristers Gudlevskis Category:Articles with hCards	Latvia
2013	6	154	Henri Ikonen Category:Articles with hCards	Finland
2013	7	184	Saku Salminen Category:Articles with hCards	Finland
2013	7	186	Joel Vermin Category:Articles with hCards	Switzerland
