Story #	Title	Doctor	Narrator	Format	release date
049	The Space Pirates	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2003-02-03 3 February 2003
004	Marco Polo	1 First Doctor	Russell, William William Russell	3-CD	2003-11-03 3 November 2003
030	The Power of the Daleks	2 Second Doctor	Wills, Anneke Anneke Wills	2-CD	2003-11-03 3 November 2003
036	The Evil of the Daleks	2 Second Doctor	Hines, Frazer Frazer Hines	3-CD	2003-11-03 3 November 2003
042	Fury from the Deep	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2004-02-02 2 February 2004
043	The Wheel in Space	2 Second Doctor	Padbury, Wendy Wendy Padbury	2-CD	2004-05-03 3 May 2004
029	The Tenth Planet	1 First Doctor	Wills, Anneke Anneke Wills	2-CD	2004-11-01 1 November 2004
046	The Invasion	2 Second Doctor	Hines, Frazer Frazer Hines	3-CD	2004-11-01 1 November 2004
032	The Underwater Menace	2 Second Doctor	Wills, Anneke Anneke Wills	2-CD	2005-02-07 7 February 2005
014	The Crusade	1 First Doctor	Russell, William William Russell	2-CD	2005-05-02 2 May 2005
039	The Ice Warriors	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2005-08-01 1 August 2005
008	The Reign of Terror	1 First Doctor	Ford, Carole Ann Carole Ann Ford	2-CD	2006-02-06 6 February 2006
037	The Tomb of the Cybermen	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2006-05-01 1 May 2006
023	The Ark	1 First Doctor	Purves, Peter Peter Purves	2-CD	2006-08-07 7 August 2006
052	Doctor Who and the Silurians	3 Third Doctor	John, Caroline Caroline John	3-CD	2006-11-06 6 November 2006
062	The Sea Devils	3 Third Doctor	Manning, Katy Katy Manning	2-CD	2006-11-06 6 November 2006
130	Warriors of the Deep	5 Fifth Doctor	Fielding, Janet Janet Fielding	2-CD	2006-11-06 6 November 2006
025	The Gunfighters	1 First Doctor	Purves, Peter Peter Purves	2-CD	2007-02-05 5 February 2007
044	The Dominators	2 Second Doctor	Padbury, Wendy Wendy Padbury	2-CD	2007-05-07 7 May 2007
027	The War Machines	1 First Doctor	Wills, Anneke Anneke Wills	2-CD	2007-08-06 6 August 2007
061	The Curse of Peladon	3 Third Doctor	Manning, Katy Katy Manning	2-CD	2007-11-05 5 November 2007
073	The Monster of Peladon	3 Third Doctor	Sladen, Elisabeth Elisabeth Sladen	2-CD	2008-03-03 3 March 2008
012	The Romans	1 First Doctor	Russell, William William Russell	2-CD	2008-05-22 22 May 2008
007	The Sensorites	1 First Doctor	Russell, William William Russell	2-CD	2008-07-10 10 July 2008
047	The Krotons	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2008-11-13 13 November 2008
056	The Mind of Evil	3 Third Doctor	Franklin, Richard Richard Franklin	2-CD	2009-02-12 12 February 2009
015	The Space Museum	1 First Doctor	O'Brien, Maureen Maureen O'Brien	2-CD	2009-05-07 7 May 2009
053	The Ambassadors of Death	3 Third Doctor	John, Caroline Caroline John	3-CD	2009-08-06 6 August 2009
019	" Mission to the Unknown "	1 First Doctor	Purves, Peter Peter Purves	CD	2010-01 2010
034	The Macra Terror	2 Second Doctor	Wills, Anneke Anneke Wills	2-CD	2012-02-02 2 February 2012
092	Horror of Fang Rock	4 Fourth Doctor	Jameson, Louise Louise Jameson	2-CD	2012-09-06 6 September 2012
099	The Pirate Planet	4 Fourth Doctor	Leeson, John John Leeson	2-CD	2012-10-04 4 October 2012
104	Destiny of the Daleks	4 Fourth Doctor	Ward, Lalla Lalla Ward	2-CD	2012-11-05 5 November 2012
105	City of Death	4 Fourth Doctor	Ward, Lalla Lalla Ward	2-CD	2012-12-06 6 December 2012
013	The Web Planet	1 First Doctor	TBA	CD	2014-02-06 6 February 2014
