Poll source	Date(s) administered	Sample size	Margin of error	Joe Sestak (D)	Pat Toomey (R)	Other	Undecided
Ipsos/Reuters (report)	August 31, 2010	407	± 4.0%	37%	47%	2%	15%
Rasmussen Reports (report)	September 13, 2010	750	± 4.0%	41%	49%	2%	8%
Pulse Opinion Research (report)	September 18, 2010	1,000	± 3.0%	40%	48%	4%	8%
Quinnipiac University (report)	September 15–19, 2010	684	± 3.8%	43%	50%	––	7%
CNN/Time Opinion Research (report)	September 17–21, 2010	741	± 3.5%	44%	49%	4%	3%
Muhlenberg/Morning Call (report)	September 18–23, 2010	445	± 5.0%	39%	46%	––	14%
Suffolk University (report)	September 24–27, 2010	500	± 4.4%	40%	45%	––	13%
Rasmussen Reports (report)	September 29, 2010	750	± 4.0%	40%	49%	4%	7%
Rasmussen Reports (report)	October 12, 2010	750	± 4.0%	39%	49%	2%	10%
Quinnipiac University (report)	October 13–17, 2010	1,046	± 3.0%	46%	48%	––	5%
Public Policy Polling (report)	October 17–18, 2010	718	± 3.7%	46%	45%	––	9%
Muhlenberg/Morning Call (report)	October 16–19, 2010	403	± 5.0%	44%	41%	5%	10%
Muhlenberg/Morning Call (report)	October 17–20, 2010	420	± 5.0%	43%	43%	4%	10%
Rasmussen Reports (report)	October 21, 2010	750	± 5.0%	44%	48%	1%	7%
Franklin & Marshall University (report)	October 18–24, 2010	720	± 5.0%	36%	43%	2%	19%
Muhlenberg/Morning Call (report)	October 21–24, 2010	437	± 5.0%	42%	47%	2%	9%
Ipsos/Reuters (report)	October 22–24, 2010	400	± 4.9%	46%	46%	2%	6%
Muhlenberg/Morning Call (report)	October 22–25, 2010	448	± 5.0%	40%	48%	3%	9%
CNN/Time/Opinion Research (report)	October 20–26, 2010	1,517	± 2.5%	45%	49%	3%	––
Muhlenberg/Morning Call (report)	October 23–26, 2010	457	± 5.0%	41%	46%	3%	9%
Muhlenberg/Morning Call (report)	October 24–27, 2010	460	± 5.0%	40%	48%	2%	10%
Susquehanna Polling & Research (report)	October 24–27, 2010	800	± 3.46%	44%	46%	––	9%
Muhlenberg/Morning Call (report)	October 25–28, 2010	470	± 4.5%	42%	47%	3%	9%
Rasmussen Reports (report)	October 28, 2010	750	± 4.0%	46%	50%	1%	3%
Marist College (report)	October 26–28, 2010	806	± 3.5%	45%	52%	1%	2%
Muhlenberg/Morning Call (report)	October 26–29, 2010	480	± 4.5%	43%	45%	2%	10%
Quinnipiac University (report)	October 25–30, 2010	1,244	± 2.8%	45%	50%	––	5%
Muhlenberg/Morning Call (report)	October 27–30, 2010	484	± 4.5%	43%	45%	2%	9%
Muhlenberg/Morning Call (report)	October 28–31, 2010	474	± 4.5%	44%	48%	––	––
Public Policy Polling (report)	October 30–31, 2010	772	± 3.5%	46%	51%	––	4%
