Date	Result	Score	Venue	Competition
05-Dec-98	W	6–1	Sisaket , Thailand	1998 Asian Games
08-Dec-98	L	2–4	Bangkok , Thailand	1998 Asian Games
10-Dec-98	W	5–0	Bangkok , Thailand	1998 Asian Games
12-Dec-98	W	2–1	Bangkok , Thailand	1998 Asian Games
14-Dec-98	W	4–0	Bangkok , Thailand	1998 Asian Games
16-Dec-98	W	2–1	Bangkok , Thailand	1998 Asian Games
19-Dec-98	W	2–0	Bangkok , Thailand	1998 Asian Games
15-Feb-99	W	2–1	Kuwait City , Kuwait	1999 Ciao February Cup
02-Jun-99	D	1–1	Edmonton , Canada	1999 Canada Cup
04-Jun-99	W	1–0	Edmonton , Canada	1999 Canada Cup
06-Jun-99	D	2–2	Edmonton , Canada	1999 Canada Cup
08-Sep-99	D	1–1	Yokohama , Japan	1999 Kirin World Challenge
10-Oct-99	D	0–0	Copenhagen , Denmark	Friendly
