Name	Nationality	Position	Years	Appearances	Goals
Derrick Sullivan	Wales	WH	1947–1961	285	19
Mel Sutton	England	MF	1967–1972	165	7
Les Talbot	England	IF	1936–1939	110	23
Derek Tapscott	Wales	FW	1958–1965	214	86
Billy Thirlaway	England	WG	1927–1929	115	22
Rod Thomas	Wales	FB	1977–1981	107	0
Steve Thompson	Scotland	FW	2006–2008	106	18
Peter Thorne	England	FW	2001–2005	143	51
Mike Tiddy	England	OF	1950–1955	150	20
David Tong	England	MF	1982–1985	137	4
John Toshack	Wales	FW	1965–1970	193	87
Nigel Vaughan	Wales	MF	1983–1987	169	44
Graham Vearncombe	Wales	GK	1952–1963	216	0
Harry Wake	Wales	WH/IF	1923–1931	166	10
Brian Walsh	England	WG	1955–1961	224	35
Rhys Weston	Wales	FB	2000–2006	213	2
Paul Wheeler	Wales	MF/FW	1985–1989	118	14
Peter Whittingham	England	MF	2007–	311	77
Gareth Williams	England	MF	1961–1967	190	15
Glyn Williams	Wales	FB	1946–1952	150	1
Roley Williams	Wales	IF	1949–1956	139	19
Bob Wilson	England	GK	1964–1970	140	0
Paul Wimbleton	England	MF	1986–1989	145	23
Bobby Woodruff	England	MF/FW	1969–1974	177	26
Scott Young	Wales	CD	1993–2004	333	26
