School	Conference	Games	Wins	Losses	Winning Pct.
Mount St. Mary's	NEC	1	0	1	.000
Navy	Patriot	1	0	1	.000
Norfolk State	MEAC	1	0	1	.000
Pacific	Big West	1	0	1	.000
Penn	Ivy	1	0	1	.000
Quinnipiac	NEC	1	0	1	.000
Rider	MAAC	1	0	1	.000
Roanoke	D-III	1	0	1	.000
RPI	D-III	1	0	1	.000
San Jose State	WAC	1	0	1	.000
Southern	SWAC	1	0	1	.000
Tennessee-Martin	OVC	1	0	1	.000
Texas-Pan American	GWC	1	0	1	.000
Savannah State	MEAC	1	0	1	.000
Texas Southern	SWAC	1	0	1	.000
UCF	C-USA	1	0	1	.000
UIC	Horizon	1	0	1	.000
UNC Asheville	Big South	1	0	1	.000
UNC Greensboro	SoCon	1	0	1	.000
Westminster	D-III	1	0	1	.000
