Name	Position	Club career	League apps	League goals	Total apps	Total goals
Steve Thompson Category:Articles with hCards	DF	1980–1988 1989–1990	181	8	217	11
David Clarke Category:Articles with hCards	DF	1987–1993	147	9	214	17
Albert Worthy Category:Articles with hCards	FB	1927–1933	198	5	211	5
Terry Fleming Category:Articles with hCards	MF	1995–2000	184	8	210	12
Johnny Campbell Category:Articles with hCards	FW	1933–1939	184	104	207	110
Shane Nicholson Category:Articles with hCards	DF	1986–1992 1966–1997	141	7	209	10
Dave Puttnam Category:Articles with hCards	MF	1990–1995	177	21	204	22
Trevor Peake Category:Articles with hCards	DF	1979–1983	171	7	202	10
Dave Carr Category:Articles with hCards	DF	1979–1983	168	4	202	5
Stuart Bimson Category:Articles with hCards	DF	1996–2003	175	3	201	4
Alf Jones Category:Articles with hCards	DF	1962–1967	180	3	200	3
Paul Mayo Category:Articles with hCards	DF	2000–2004 2005–2007	168	10	195	14
Sam Ellis Category:Articles with hCards	DF	1973–1977	173	33	194	41
William McMillan Category:Articles with hCards	FB / HB	1898–1904 1906	178	1	194	1
Johnny Garvie Category:Articles with hCards	FW	1950–1956	184	78	192	80
Doug Graham Category:Articles with hCards	FB	1951–1957	182	0	191	0
Andy Gardner Category:Articles with hCards	HB	1909–1919	151	9	191	14
Ian Branfoot Category:Articles with hCards	DF	1973–1977	166	11	189	12
Roy Chapman Category:Articles with hCards	FW	1957–1961 1965–1967	175	77	187	81
Billy Bean Category:Articles with hCards	HB / FB	1935–1949	171	10	187	10
Dennis Booth Category:Articles with hCards	MF	1974–1977	162	9	186	10
Tosh Barrell Category:Articles with hCards	FW	1908–1915	141	26	186	43
Lee Beevers Category:Articles with hCards	DF	2005–2009	166	9	185	11
Paul A. Smith Category:Articles with hCards	MF	1997–2003	156	18	184	21
Graham Bressington Category:Articles with hCards	MF	1987–1993	141	7	183	9
Ray Harford Category:Articles with hCards	DF	1967–1971	161	10	182	10
Alf Horne Category:Articles with hCards	FW	1932–1936	166	36	181	39
Percy Freeman Category:Articles with hCards	FW	1970–1972 1975–1977	152	64	181	76
Corkie Blow Category:Articles with hCards	HB	1901–1906	162	1	180	1
Jim Grummett, Sr. Category:Articles with hCards	HB	1945–1951	165	12	179	12
Peter Graham Category:Articles with hCards	FW	1973–1978	158	47	178	53
John McGinley Category:Articles with hCards	MF	1984–1986 1987–1989	112	18	176	39
Tommy Wield Category:Articles with hCards	HB	1904–1906 1909–1915	131	5	172	6
Jimmy Munro Category:Articles with hCards	FW	1953–1958	161	24	171	25
Graham Taylor Category:Articles with hCards	DF	1968–1973	151	1	170	2
Dick Neal Category:Articles with hCards	HB	1954–1957 1963–1964	156	15	169	17
Tommy Fern Category:Articles with hCards	GK	1909–1913	127	0	169	0
Pally Hale Category:Articles with hCards	FB / HB	1925–1930	156	4	167	4
John Finnigan Category:Articles with hCards	MF	1998–2002	143	3	166	4
William Watson Category:Articles with hCards	FW	1903–1909	120	28	166	47
Mitchell Downie Category:Articles with hCards	GK	1954–1959	157	0	164	0
Richard Hood Category:Articles with hCards	FB / HB	1904–1909	130	1	164	1
Matt Robson Category:Articles with hCards	HB	1909–1915	121	3	160	3
Simon Yeo Category:Articles with hCards	FW	2002–2005 2006	134	42	157	51
Matt Carmichael Category:Articles with hCards	FW	1989–1993	133	18	156	21
Alf Young Category:Articles with hCards	HB	1929–1934	147	5	154	5
Ernie Whittle Category:Articles with hCards	FW	1950–1954	145	62	151	64
Billy Simpson Category:Articles with hCards	FB / HB	1902–1907	140	0	151	0
Gary Strodder Category:Articles with hCards	DF	1982–1987	132	6	151	6
Jimmy Hartley Category:Articles with hCards	FW	1897–1903	138	52	150	56
Barry Richardson Category:Articles with hCards	GK	1995–2000	131	0	150	0
Tony Battersby Category:Articles with hCards	FW	1998–2002	130	21	150	26
Tony Cunningham Category:Articles with hCards	FW	1979–1982	123	32	148	42
Kevin Austin Category:Articles with hCards	DF	1996–1999	129	1	148	1
Dean West Category:Articles with hCards	DF	1991–1995 2004	123	20	147	23
Paddy McConville Category:Articles with hCards	FB	1925–1932	138	0	145	0
Yaffer Ward Category:Articles with hCards	FB	1915–1923 1925–1926 1930	108	10	145	12
Alf Webb Category:Articles with hCards	GK	1899–1904	131	0	144	0
Will Gibson Category:Articles with hCards	HB	1898–1903	130	1	143	1
Richard Butcher Category:Articles with hCards	MF	2002–2005 2005 2009–2010	124	12	143	14
Ben Futcher Category:Articles with hCards	DF	2002–2005	121	13	142	16
Lee Frecklington Category:Articles with hCards	MF	2003–2009	124	21	141	23
John Fleming Category:Articles with hCards	MF	1975–1979	121	17	141	18
Alf Ball Category:Articles with hCards	FW	1913–1921	97	13	141	23
Colin Alcide Category:Articles with hCards	FW	1995–1999	121	27	140	31
Arthur Atkin Category:Articles with hCards	FB / HB	1913–1924	96	2	140	3
Quentin Neill Category:Articles with hCards	FB	1888–1894	59	0	139	3
Billy Dinsdale Category:Articles with hCards	FW	1926–1931	126	89	136	103
Russell Green Category:Articles with hCards	HB	1957–1963	125	8	135	8
Freddy Simpson Category:Articles with hCards	FW	1902–1908	124	37	133	39
Dennis O'Donnell Category:Articles with hCards	FW	1901–1905	118	31	133	37
Gordon Hughes Category:Articles with hCards	MF	1968–1971	117	9	131	9
Paul Miller Category:Articles with hCards	MF	1997–2001	116	11	131	12
Tom Maidment Category:Articles with hCards	FW	1926–1931	126	43	130	47
John McClelland Category:Articles with hCards	FW	1958–1961	121	32	130	34
Paul Green Category:Articles with hCards	DF	2007–2011	117	4	130	4
Jack Manning Category:Articles with hCards	FW	1911–1915	90	9	130	20
James Smith Category:Articles with hCards	FB	1931–1936	116	3	127	3
Mick Harford Category:Articles with hCards	FW	1977–1980	115	41	126	46
Darren Davis Category:Articles with hCards	DF	1988–1991 1995	105	4	124	7
Derek Trevis Category:Articles with hCards	MF	1970–1973	108	18	123	21
John Irving Category:Articles with hCards	FW	1889–1897	51	10	123	43
Jack Kendall Category:Articles with hCards	GK	1922–1924 1928–1930	117	0	122	0
Dickie Deacon Category:Articles with hCards	FW	1936–1939	111	22	121	25
John Milner Category:Articles with hCards	HB	1963–1966	109	6	121	7
Jon Whitney Category:Articles with hCards	DF	1995–1998	101	8	121	11
Frank Pegg Category:Articles with hCards	FW	1926–1931	115	51	120	51
Tom Brooks Category:Articles with hCards	DF	1965–1971	113	1	120	1
Ben Sedgemore Category:Articles with hCards	MF	2001–2004	107	5	120	6
Gary West Category:Articles with hCards	DF	1985–1987 1991 1991–1992	104	5	120	6
Bob Fenwick Category:Articles with hCards	FW	1920–1926	76	2	120	5
Frank Smallman Category:Articles with hCards	FW	1889–1896	58	23	120	53
Harry Parr Category:Articles with hCards	FW	1946–1950	112	13	118	13
Nat Brown Category:Articles with hCards *	DF	2005–2008 2013–	94	8	117	9
Jack Bryan Category:Articles with hCards	HB	1919–1922	75	1	117	2
Bob Meacock Category:Articles with hCards	HB	1935–1938	106	0	116	0
Brendan Guest Category:Articles with hCards	DF	1976–1980	104	2	116	2
Francis Green Category:Articles with hCards	FW	2003–2006	100	18	116	20
Gavin Gordon Category:Articles with hCards	FW	1997–2000	99	30	115	33
Andy York Category:Articles with hCards	FB	1927–1930	106	6	114	6
Neil Redfearn Category:Articles with hCards	MF	1984–1986	100	13	114	14
Brian Heward Category:Articles with hCards	DF	1961–1966	97	2	114	2
Fred Corbett Category:Articles with hCards	FB	1936–1939	103	0	113	0
Tony Lormor Category:Articles with hCards	FW	1990–1994	100	30	113	34
Charlie Bannister Category:Articles with hCards	HB	1897–1901	106	1	112	1
Mark Bailey Category:Articles with hCards	DF	2001–2004	98	1	111	4
Matthew Bloomer Category:Articles with hCards	DF	2002–2006	94	3	110	4
Bertie Foster Category:Articles with hCards	FW	1906–1912	67	1	110	9
David Johnson Category:Articles with hCards	FW	1993–1996	88	13	109	23
George Stillyards Category:Articles with hCards	DF	1945–1949	100	2	109	2
Terry Branston Category:Articles with hCards	DF	1970–1973	100	1	109	1
James Saunders Category:Articles with hCards	GK	1906–1909	65	0	109	0
Dick Young Category:Articles with hCards	DF	1949–1954	100	2	106	3
Jason Lee Category:Articles with hCards	FW	1991–1993	93	21	106	22
George Nisbet Category:Articles with hCards	HB	1906–1909	62	1	104	2
Phil Brown Category:Articles with hCards	MF	1987–1990	43	3	104	24
Dixie McNeil Category:Articles with hCards	FW	1972–1974	97	53	103	53
Don Dykes Category:Articles with hCards	HB	1949–1958	95	4	101	4
Jamie Forrester Category:Articles with hCards	FW	2006–2008	90	35	101	37
Simon Weaver Category:Articles with hCards	DF	2002–2004	88	4	101	5
Derek Bell Category:Articles with hCards	FW	1979–1983	83	33	101	40
Gordon Simmonite Category:Articles with hCards	DF	1982–1985 1987–1988	72	0	101	0
Ted Savage Category:Articles with hCards	HB	1929–1931	96	3	100	3
Rod Fletcher Category:Articles with hCards	FW	1967–1971	92	29	100	31
Rob Burch Category:Articles with hCards	GK	2008–2010	92	0	100	0
Mark Wallington Category:Articles with hCards	GK	1988–1991	87	0	100	0
Jamie McCombe Category:Articles with hCards	DF	1988–1991	87	7	100	8
Danny Hone Category:Articles with hCards	DF	2007–2011	85	3	100	4
