Party Name	States contested	Seats contested	Seats won	No. of Votes	% of Votes	% in Seats contested	Forfeited in seats
Peoples Democratic Party	1	1	0	45720	0.01%	6.26%	1
Uttarakhand Kranti Dal	1	4	0	43899	0.01%	2.02%	4
Marxist Communist Party of India	1	4	0	38766	0.01%	1.05%	4
Amra Bangalee	3	7	0	38107	0.01%	0.71%	7
Vidharba Rajya Party	1	2	0	36974	0.01%	2.57%	2
Urs Samyukta Paksha	1	3	0	33128	0.01%	1.29%	3
Ambedkarist Republican Party	1	7	0	31467	0.01%	0.62%	7
Prabuddha Republican Party	1	7	0	29792	0.01%	0.51%	7
Rashtrawadi Communist Party	1	1	0	28757	0.01%	5.03%	1
Rashtriya Samajik Nayak Paksha	1	1	0	27594	0.01%	4.04%	1
Sampurna Vikas Dal	1	3	0	27135	0.01%	1.04%	3
Tamil Desiyak Katchi	1	2	0	25348	0.01%	1.82%	2
Kosi Vikas Party	1	2	0	25258	0.01%	1.93%	2
Chhattisgarhi Samaj Party	1	3	0	24696	0.01%	1.21%	3
Bharatiya Manavata Vikas Party	1	2	0	24176	0.01%	1.33%	2
Loktantrik Samajwadi Party	3	3	0	22811	0.01%	1.12%	3
Savarn Samaj Party	2	7	0	21246	0.01%	0.46%	7
Ambedkar Samaj Party	1	9	0	20767	0.01%	0.36%	9
Indian National League	1	4	0	20159	0.01%	0.53%	4
Bharatiya Gaon Taj Dal	2	11	0	19909	0.01%	0.21%	11
Akhil Bharatiya Congress Dal (Ambedkar)	1	2	0	19548	0.01%	1.36%	2
Socialist Party (Lohia)	1	1	0	18628	0.00%	1.98%	1
Shivrajya Party	1	4	0	18374	0.00%	0.64%	4
Samajwadi Jan Parishad	1	2	0	17717	0.00%	1.50%	2
Hindustan Janta Party	1	4	0	17410	0.00%	0.48%	4
Revolutionary Communist Party of India	1	1	0	16691	0.00%	2.50%	1
Bharatiya Republican Paksha	4	10	0	16546	0.00%	0.21%	10
Rashtriya Vikas Party	3	5	0	15159	0.00%	0.33%	5
Trinamool Gana Parishad	1	1	0	14933	0.00%	1.69%	1
Manuvadi Party	1	5	0	14233	0.00%	0.47%	5
Bharat Kranti Rakshak Party	1	7	0	12547	0.00%	0.27%	7
Rashtriya Hamara Dal	1	1	0	12346	0.00%	1.92%	1
Parivartan Samaj Party	2	5	0	12273	0.00%	0.32%	5
Bharatiya Eklavya Party	1	2	0	12197	0.00%	0.88%	2
Proutist Sarva Samaj Party	3	4	0	11561	0.00%	0.41%	4
Bharatiya Rashtravadi Paksha	1	1	0	11459	0.00%	2.54%	1
Paschim Banga Rajya Muslim League	1	1	0	10446	0.00%	1.04%	1
Rajasthan Vikas Party	1	2	0	10032	0.00%	0.70%	2
Lokpriya Samaj Party	2	3	0	9913	0.00%	0.40%	3
Akhil Bharatiya Jan Sangh	5	7	0	9707	0.00%	0.23%	7
Rashtriya Krantikari Samajwadi Party	1	5	0	9145	0.00%	0.28%	5
Vidharbha Janata Congress	1	2	0	9097	0.00%	0.63%	2
Shoshit Samaj Dal	2	4	0	8862	0.00%	0.31%	4
Jai Hind Party	2	3	0	8645	0.00%	0.29%	3
Bharatiya Minorities Suraksha Mahasangh	1	3	0	8200	0.00%	0.38%	3
Akhil Bharatiya Desh Bhakt Morcha	1	1	0	7696	0.00%	1.35%	1
Maharashtrawadi Gomantak Party	1	2	0	7584	0.00%	1.37%	2
Rashtriya Sawarn Dal	2	2	0	7374	0.00%	0.34%	2
Navbharat Nirman Party	2	7	0	7169	0.00%	0.11%	7
Krantikari Samyavadi Party	1	1	0	6948	0.00%	1.00%	1
Democratic Bharatiya Samaj Party	1	2	0	6717	0.00%	0.45%	2
Youth and Students Party	1	1	0	6580	0.00%	0.84%	1
Ephraim Union	1	1	0	6512	0.00%	1.87%	1
United Goans Democratic Party	1	1	0	5881	0.00%	1.98%	1
Pichhra Samaj Party	1	1	0	5672	0.00%	0.80%	1
Momin Conference	1	1	0	5113	0.00%	0.72%	1
Labour Party of India (V.V. Prasad)	1	1	0	4977	0.00%	0.42%	1
All India Minorities Front	1	1	0	4874	0.00%	0.70%	1
Republican Party of India (Khobragade)	1	1	0	4790	0.00%	0.72%	1
Bahujan Vikas Party	1	2	0	4533	0.00%	0.32%	2
Naari Shakti Party	1	1	0	4649	0.00%	0.42%	1
Bharatiya Ekta Dal	1	1	0	4312	0.00%	0.62%	1
Shikshit Berozgar Sena	1	1	0	4303	0.00%	0.60%	1
Yuva Gantantra Party	1	1	0	4140	0.00%	0.58%	1
Rashtravadi Janata Party	1	1	0	3737	0.00%	0.24%	1
Kranti Kari Jai Hind Sena	1	3	0	3393	0.00%	0.12%	3
Mudiraj Rashtriya Samithi	1	1	0	3345	0.00%	0.33%	1
Sikkim Sangram Parishad	1	1	0	3216	0.00%	1.46%	1
Janata Vikas Party	1	1	0	3173	0.00%	0.55%	1
National Students Party	1	1	0	3069	0.00%	0.37%	1
Secular Party of India	1	2	0	3041	0.00%	0.21%	2
Vikas Party	1	2	0	2998	0.00%	0.23%	2
Social Action Party	1	1	0	2987	0.00%	0.46%	1
Akhil Bharatiya Rashtriya Azad Hind Party	1	1	0	2801	0.00%	0.48%	1
Loktantrik Chetna Party	1	1	0	2776	0.00%	0.53%	1
Sikkim Himali Rajya Parishad	1	1	0	2765	0.00%	1.26%	1
Janmangal Paksh	1	1	0	2684	0.00%	0.41%	1
Sanatan Samaj Party	1	1	0	2679	0.00%	0.56%	1
Rashtriya Lok Seva Morcha	1	1	0	2476	0.00%	0.32%	1
Lok Sewa Dal	1	1	0	2646	0.00%	0.39%	1
Jana Unnayan Mancha	1	1	0	2592	0.00%	0.31%	1
Republican Party of India (Democratic)	1	1	0	2370	0.00%	0.29%	1
Bharatiya Lok Kalyan Dal	1	1	0	2242	0.00%	0.33%	1
Panchayat Raj Party	1	1	0	2165	0.00%	0.24%	1
Bharatiya Backward Party	1	2	0	2162	0.00%	0.14%	2
All Kerala M.G.R. Dravida Munnetra Party	1	1	0	2158	0.00%	0.28%	1
Akhil Bharatiya Rajarya Sabha	1	2	0	2080	0.00%	0.17%	2
Bharat ki Lok Jimmedar Party	1	1	0	2055	0.00%	0.33%	1
Rashtriya Garima Party	1	1	0	2043	0.00%	0.24%	1
Rashtriya Garib Dal	1	1	0	1977	0.00%	0.24%	1
Ekta Kranti Dal U.P.	1	2	0	1939	0.00%	0.15%	2
Bharatiya Labour Party	1	1	0	1758	0.00%	0.25%	1
Phule Bharti Lok Party	1	1	0	1690	0.00%	0.22%	1
Mool Bharati (S) Party	1	1	0	1675	0.00%	0.19%	1
Bharatiya Nagrik Party	1	2	0	1580	0.00%	0.13%	2
Jammu & Kashmir Awami League	1	1	0	1519	0.00%	0.78%	1
Hind Morcha	1	1	0	1459	0.00%	0.09%	1
Jharkhand People's Party	1	1	0	1449	0.00%	0.21%	1
Maharashtra Rajiv Congress	1	1	0	1399	0.00%	0.15%	1
Janhit Samaj Party	1	1	0	1310	0.00%	0.15%	1
Vijeta Party	1	1	0	1304	0.00%	0.14%	1
Socialistic Democratic Party	1	1	0	1265	0.00%	0.65%	1
Jansatta Party	1	1	0	1189	0.00%	0.14%	1
Federal Congress of India	1	1	0	1037	0.00%	0.13%	1
Nidaya Malik (N) Party	1	1	0	1030	0.00%	0.17%	1
Indian Bahujan Samajwadi Party	1	1	0	972	0.00%	0.14%	1
Desh Bhakt Party	1	3	0	912	0.00%	0.06%	3
Ambedkar National Congress	1	1	0	825	0.00%	0.10%	1
NTR Telugu Desam Party (Lakshmi Parvathi)	1	1	0	759	0.00%	0.09%	1
Akhil Bharatiya Loktantra Party	1	1	0	754	0.00%	0.11%	1
Jebamani Janata	1	1	0	734	0.00%	0.08%	1
Niswarth Sewa Party	1	1	0	730	0.00%	0.09%	1
Jan Chetna Party	1	1	0	671	0.00%	0.09%	1
Hindu Ekta Andolan Party	1	1	0	620	0.00%	0.08%	1
Krantikari Manuwadi Morcha	1	1	0	597	0.00%	0.10%	1
Bharatiya Prajatantra Party	1	1	0	573	0.00%	0.05%	1
Bharatiya Muhabbat Party (All India)	1	1	0	566	0.00%	0.08%	1
Manav Jagriti Manch	1	1	0	552	0.00%	0.04%	1
Bharatiya Janvadi Party	1	1	0	543	0.00%	0.07%	1
Bharatiya Surajya Manch	1	1	0	515	0.00%	0.19%	1
Rashtriya Janadhikar Party	1	1	0	487	0.00%	0.03%	1
Praja Party	1	1	0	485	0.00%	0.06%	1
Bharti Sarvadarshi Parishad	1	1	0	427	0.00%	0.07%	1
Shoshit Samaj Party	1	1	0	395	0.00%	0.07%	1
Rashtriya Sakar Party	1	1	0	379	0.00%	0.06%	1
Bharatiya Sarvkalayan Kranti Dal	1	1	0	365	0.00%	0.06%	1
Awami Party	1	1	0	327	0.00%	0.04%	1
Swaraj Dal	1	1	0	298	0.00%	0.19%	1
Akhand Bharati	1	1	0	138	0.00%	0.05%	1
Parmarth Party	1	1	0	126	0.00%	0.05%	1
Independents	32	2385	5	16549900	4.25%	4.64%	2370
