Nationality	Position	Boro career	Captaincy	Appearances	Goals
Brazil	Midfield	1995–1997 1999 2002–2004	–	155	34
Italy	Forward	1996–1997	–	50	32
Denmark	Striker	1996–1998	–	115	31
Ireland	Midfield	1997–1999	1998–1999	88	4
Italy	Central defender	1997–2002	–	171	12
Australia	Goalkeeper	1997–2008	–	446	0
Colombia	Forward	1998–2002	–	134	43
England	Midfield	1999–2002	1999–2002	106	9
Cameroon	Forward	2000–2006	–	111	21
England	Defender/Midfield	2000–2007	–	128	4
England	Defender	2000–2007	–	150	8
England	Midfield	2001–2004	–	109	4
Slovakia	Forward	2001–2006	–	146	29
France	Left-back	2001–2006	–	199	12
England	Defender	2001–2006	2002–2006	204	4
England	Midfield	2001–2009;	–	190	18
Netherlands	Midfield	2002–2008	2006–2008	222	9
Italy	Forward	2002–2007	–	102	24
Brazil	Midfield	2003–2006	–	110	1
England	Defender	2003–2009;	–	121	8
Austria	Defender	2005–2010	2008–2010	112	3
Argentina	Midfield	2006–	2008	57	5
Brazil	Forward	2008–2009	–	14	6
