Artist	Decade	Genre	Single / Pack name	Release date	Family Friendly	Additional Rock Band 3 Features
Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	Yes	None
Iron Maiden	2000s	Metal	Iron Maiden 01	June9,2009	No	None
Evanescence	2000s	Nu-Metal	Evanescence 01	June16,2009	Yes	None
Evanescence	2000s	Nu-Metal	Evanescence 01	June16,2009	No	None
Spinal Tap	2000s	Rock	Spinal Tap 01	June16,2009	No	None
Day to Remember A Day to Remember	2000s	Punk	Warped Tour 2009 01	June23,2009	Yes	None
Bad Religion	1990s	Punk	Warped Tour 2009 01	June23,2009	No	None
Chiodos	2000s	Emo	Warped Tour 2009 01	June23,2009	No	None
Escape the Fate	2000s	Emo	Warped Tour 2009 01	June23,2009	Yes	None
Underoath	2000s	Emo	Warped Tour 2009 01	June23,2009	Yes	None
Maroon 5	2000s	Pop-Rock	Maroon 5 01	June23,2009	No	None
Pearl Jam	2000s	Grunge	Ten Bonus Pack	June23,2009	No	Backing vocals
Pearl Jam	2000s	Grunge	Ten Bonus Pack	June23,2009	No	None
Foreigner	1970s	Classic Rock	Foreigner 01	June30,2009	Yes	None
Foreigner	1970s	Classic Rock	Foreigner 01	June30,2009	No	None
Black Rebel Motorcycle Club	2000s	Alternative	Single	June30,2009	No	None
Dear and the Headlights	2000s	Indie Rock	Warped Tour 2009 02	June30,2009	Yes	None
The Devil Wears Prada	2000s	Metal	Warped Tour 2009 02	June30,2009	No	None
Thrice	2000s	Rock	Warped Tour 2009 02	June30,2009	Yes	None
Green Day	2000s	Rock	Green Day 01	July7,2009	No	Backing vocals
Behemoth	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
The Black Dahlia Murder	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
Cannibal Corpse	1990s	Metal	Mayhem Tour 2009	July7,2009	No	None
God Forbid	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
Job for a Cowboy	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
Marilyn Manson	2000s	Glam	Mayhem Tour 2009	July7,2009	No	None
Slayer	1980s	Metal	Mayhem Tour 2009	July7,2009	No	None
Whitechapel	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
Big Dipper	2000s	Indie Rock	Big Dipper 01	July14,2009	Yes	None
Big Dipper	2000s	Indie Rock	Big Dipper 01	July14,2009	No	None
Judas Priest	2000s	Metal	Judas Priest 01	July14,2009	No	None
The Dead Weather	2000s	Alternative	The Dead Weather 01	July14,2009	No	None
The Dead Weather	2000s	Alternative	The Dead Weather 01	July14,2009	Yes	None
Kings of Leon	2000s	Rock	Kings of Leon 01	July21,2009	No	None
Rancid	2000s	Punk	Rancid 01	July21,2009	No	None
Rancid	1990s	Punk	Rancid 01	July21,2009	Yes	None
Rancid	1990s	Punk	Rancid 01	July21,2009	No	None
Rise Against	2000s	Punk	Rise Against 01	July21,2009	Yes	None
Lush	1990s	Alternative	Single	July21,2009	Yes	None
Blink-182	2000s	Punk	Blink-182 01	July28,2009	Yes	None
Blink-182	2000s	Punk	Blink-182 01	July28,2009	No	None
Kiss	1970s	Classic Rock	Kiss 01	July28,2009	No	None
Kiss	1970s	Classic Rock	Kiss 01	July28,2009	Yes	None
Weezer	1990s	Alternative	Weezer 02	July28,2009	Yes	None
Weezer	2000s	Alternative	Weezer 02	July28,2009	Yes	None
Weezer	1990s	Alternative	Weezer 02	July28,2009	No	None
Damone	2000s	Rock	Single	July28,2009	Yes	None
Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	No	None
Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	Yes	None
Gorillaz	2000s	Alternative	Gorillaz 01	Aug.11,2009	No	None
Janis Joplin	1970s	Classic Rock	Single	Aug.11,2009	Yes	None
The Band	1970s	Classic Rock	Single	Aug.11,2009	No	None
Jefferson Airplane	1960s	Classic Rock	Single	Aug.11,2009	No	None
The Who	1970s	Classic Rock	Single	Aug.11,2009	No	None
Blind Melon	1990s	Alternative	Single	Aug.18,2009	No	None
Blur	1990s	Alternative	Single	Aug.18,2009	No	None
Dropkick Murphys	2000s	Punk	Single	Aug.18,2009	No	None
Eve 6	1990s	Alternative	Single	Aug.18,2009	No	Pro Guitar/Bass
Kaiser Chiefs	2000s	Indie Rock	Single	Aug.18,2009	No	None
Foo Fighters	2000s	Alternative	Foo Fighters 02	Aug.18,2009	No	None
Foo Fighters	1990s	Alternative	Foo Fighters 02	Aug.18,2009	No	None
Billy Idol	1980s	Rock	Single	Aug.25,2009	No	None
Fleetwood Mac	1970s	Classic Rock	Single	Aug.25,2009	Yes	None
Jet	2000s	Alternative	Single	Aug.25,2009	No	None
Tom Petty	1980s	Classic Rock	Single	Aug.25,2009	Yes	None
Avenged Sevenfold	2000s	Metal	Single	Sep.1,2009	No	None
The Jam	1980s	New Wave	Single	Sep.1,2009	No	None
The Jam	2000s	New Wave	Single	Sep.1,2009	Yes	None
Oasis	2000s	Rock	Single	Sep.1,2009	No	None
Rage Against the Machine	1990s	Alternative	Single	Sep.1,2009	No	None
Talking Heads	1980s	New Wave	Talking Heads 01	Sep.1,2009	Yes	None
Talking Heads	1980s	New Wave	Talking Heads 01	Sep.1,2009	No	None
Talking Heads	1970s	New Wave	Talking Heads 01	Sep.1,2009	No	None
Freezepop	2000s	Pop-Rock	Freezepop 01	Sep.8,2009	No	None
Freezepop	2000s	Pop-Rock	Freezepop 01	Sep.8,2009	Yes	None
Jonathan Coulton	2000s	Pop-Rock	The PAX 2009 Collection	Sep.8,2009	No	None
MC Frontalot	2000s	Other	The PAX 2009 Collection	Sep.8,2009	No	None
Paul and Storm	2000s	Pop-Rock	The PAX 2009 Collection	Sep.8,2009	No	None
3 Doors Down	2000s	Rock	Single	Sep.8,2009	Yes	None
AFI	2000s	Alternative	Single	Sep.8,2009	No	None
Audioslave	2000s	Rock	Single	Sep.8,2009	No	None
Jackson 5	1970s	Pop-Rock	Single	Sep.8,2009	Yes	None
Anvil	2000s	Metal	Anvil 01	Sep.15,2009	No	None
Dinosaur Jr.	2000s	Alternative	Single	Sep.15,2009	Yes	None
Dinosaur Jr.	1990s	Alternative	Single	Sep.15,2009	Yes	None
The Guess Who	1970s	Classic Rock	Single	Sep.15,2009	Yes	None
Tenacious D	2000s	Rock	Single	Sep.15,2009	No	None
Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	Backing vocals
Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	Yes	Backing vocals
Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	None
Alice in Chains	2000s	Grunge	Alice in Chains 01	Sep.29,2009	No	None
Alice in Chains	2000s	Grunge	Alice in Chains 01	Sep.29,2009	Yes	None
Alice in Chains	1990s	Grunge	Alice in Chains 01	Sep.29,2009	Yes	None
Alice in Chains	1990s	Grunge	Alice in Chains 01	Sep.29,2009	No	Pro Guitar/Bass
Alice in Chains	1990s	Grunge	Alice in Chains 01	Sep.29,2009	No	None
Breaking Benjamin	2000s	Nu-Metal	Breaking Benjamin 01	Sep.29,2009	No	None
Breaking Benjamin	2000s	Nu-Metal	Breaking Benjamin 01	Sep.29,2009	Yes	None
Just Kait	2000s	Rock	Single	Sep.29,2009	No	None
Kula Shaker	1990s	Alternative	Single	Sep.29,2009	No	None
Kula Shaker	1990s	Alternative	Single	Sep.29,2009	Yes	None
The Raconteurs	2000s	Rock	The Raconteurs 01	Oct.6,2009	Yes	None
Electric Six	2000s	Rock	Electric Six 01	Oct.6,2009	No	None
Electric Six	2000s	Rock	Electric Six 01	Oct.6,2009	Yes	None
Alanis Morissette	1990s	Pop-Rock	Single	Oct.6,2009	Yes	None
Flobots	2000s	Alternative	Single	Oct.6,2009	No	None
Motörhead	2000s	Metal	Brütal Legend	Oct.13,2009	No	None
Tenacious D	2000s	Rock	Brütal Legend	Oct.13,2009	Yes	None
Testament	2000s	Metal	Brütal Legend	Oct.13,2009	No	None
Black Tide	2000s	Metal	Single	Oct.13,2009	Yes	None
Blink-182	1990s	Punk	Single	Oct.13,2009	No	None
Joe Satriani	1980s	Rock	Single	Oct.13,2009	Yes	None
Kansas	1970s	Prog	Single	Oct.13,2009	Yes	None
L7	1990s	Grunge	Single	Oct.13,2009	No	None
Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	No	None
Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	Yes	None
Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	No	Pro Guitar/Bass
Queen	1970s	Classic Rock	Queen 01	Oct.20,2009	No	None
Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	Yes	Pro Guitar/Bass
Queen	1970s	Classic Rock	Queen 01	Oct.20,2009	No	Pro Guitar/Bass
Rob Zombie	1990s	Nu-Metal	Rob Zombie 01	Oct.27,2009	No	None
Rob Zombie	2000s	Nu-Metal	Rob Zombie 01	Oct.27,2009	No	None
Wolfmother	2000s	Rock	Wolfmother 01	Oct.27,2009	No	None
Wolfmother	2000s	Rock	Wolfmother 01	Oct.27,2009	Yes	None
Liz Phair	2000s	Pop-Rock	Single	Oct.27,2009	No	None
Morningwood	2000s	Pop-Rock	Single	Oct.27,2009	Yes	None
Morningwood	2000s	Pop-Rock	Single	Oct.27,2009	No	None
Foo Fighters	2000s	Alternative	Foo Fighters 03	Nov.3,2009	Yes	None
Foo Fighters	2000s	Alternative	Foo Fighters 03	Nov.3,2009	Yes	Pro Guitar/Bass
Nirvana	1980s	Grunge	Nirvana Bleach	Nov.3,2009	Yes	None
Joan Jett & The Blackhearts	1980s	Punk	Single	Nov.3,2009	Yes	None
SpongeBob SquarePants	2000s	Other	SpongeBob SquarePants 02	Nov.10,2009	Yes	None
The White Stripes	2000s	Rock	The White Stripes 01	Nov.10,2009	Yes	Pro Guitar/Bass
The White Stripes	2000s	Rock	The White Stripes 01	Nov.10,2009	Yes	None
The White Stripes	2000s	Rock	The White Stripes 01	Nov.10,2009	No	None
The Damned	1970s	Punk	Single	Nov.10,2009	Yes	None
Kasabian	2000s	Rock	Single	Nov.10,2009	Yes	None
AFI	2000s	Alternative	AFI 01	Nov.17,2009	No	None
The Bangles	1980s	Rock	Single	Nov.17,2009	Yes	None
Them Crooked Vultures	2000s	Rock	Single	Nov.17,2009	Yes	None
Tom Petty and the Heartbreakers	2000s	Rock	Tom Petty & the Heartbreakers Live Anthology 01	Nov.24,2009	Yes	None
Tom Petty and the Heartbreakers	2000s	Rock	Tom Petty & the Heartbreakers Live Anthology 01	Nov.24,2009	No	None
Kelly Clarkson	2000s	Pop-Rock	Single	Nov.24,2009	Yes	None
P!nk	2000s	Pop-Rock	Single	Nov.24,2009	Yes	None
The Go-Go's	1980s	Pop-Rock	Single	Nov.24,2009	Yes	None
Nirvana	1990s	Grunge	Nirvana 02	Dec.1,2009	Yes	Pro Guitar/Bass
Nirvana	2000s	Grunge	Nirvana 02	Dec.1,2009	No	Pro Guitar/Bass
Nirvana	1990s	Grunge	Nirvana 02	Dec.1,2009	No	Pro Guitar/Bass
Night Ranger	1980s	Rock	Night Ranger 01	Dec.1,2009	Yes	None
Night Ranger	2000s	Rock	Night Ranger 01	Dec.1,2009	Yes	None
Slipknot	2000s	Nu-Metal	Slipknot 01	Dec.8,2009	No	None
Simon & Garfunkel	1960s	Classic Rock	Single	Dec.8,2009	Yes	None
Lights Resolve	2000s	Indie Rock	Single	Dec.8,2009	Yes	None
Green Day	2000s	Rock	Green Day 02	Dec.15,2009	No	Backing vocals
Green Day	2000s	Rock	Green Day 02	Dec.15,2009	Yes	Backing vocals
30 Seconds to Mars	2000s	Emo	Single	Dec.15,2009	No	None
All-American Rejects	2000s	Emo	Single	Dec.15,2009	No	None
Weezer	2000s	Rock	Weezer 03	Dec.22,2009	Yes	None
Weezer	2000s	Rock	Weezer 03	Dec.22,2009	No	None
Limp Bizkit	2000s	Nu-Metal	Single	Dec.22,2009	Yes	None
The Offspring	2000s	Rock	Single	Dec.22,2009	Yes	None
Yellowcard	2000s	Emo	Single	Dec.22,2009	Yes	None
Shania Twain	1990s	Country	Going Country 02	Dec.29,2009	No	None
Cross Canadian Ragweed	2000s	Country	Going Country 02	Dec.29,2009	No	None
Alan Jackson	2000s	Country	Going Country 02	Dec.29,2009	No	None
Keith Urban	2000s	Country	Going Country 02	Dec.29,2009	No	None
Jason Aldean	2000s	Country	Going Country 02	Dec.29,2009	No	None
Kenny Rogers	1970s	Country	Going Country 02	Dec.29,2009	No	None
Martina McBride	2000s	Country	Going Country 02	Dec.29,2009	No	None
