Actor	Character	Soap Opera	Years	Duration
Jan Grünig	Mürfel Ziegler	Lindenstraße	1999—	15 years
Sven Thiemann	Charly Kolbe	Marienhof	1996, 1997–2011	14 years
Daniel Fehlow	Leon Moreno	Gute Zeiten, schlechte Zeiten	1996–1998, 1999, 2001–2004, 2005—	14 years
Giselle Vesco	Hilde Scholz	Lindenstraße	2000—	14 years
Joris Gratwohl	Alex Behrend	Lindenstraße	2000—	14 years
Christian Buse	Thorsten Fechner	Marienhof	1998–2011	13 years
Erwin Aljukic	Frederik Neuhaus	Marienhof	1998–2011	13 years
Michaela Geuer	Martina Irrgang	Marienhof	1995–2008	13 years
Susanne Gannott	Beate Flöter	Lindenstraße	1986–1998, 2001–2002	13 years
Cosima Viola	Jack Aichinger	Lindenstraße	2001—	13 years
Felix von Jascheroff	John Bachmann	Gute Zeiten, schlechte Zeiten	2001—	13 years
Philipp Neubauer	Philipp Sperling	Lindenstraße	1993–2003, 2012—	12 years
Marcus Off	Phil Seegers	Lindenstraße	1986–1987, 1994–1998, 2002–2009, 2010, 2011	12 years
Birgitta Weizenegger	Ines Krämer	Lindenstraße	1999–2011	12 years
Nicole Belstler-Boettcher	Sandra Behrens	Marienhof	1995–1997, 1999-2009, 2010	12 years
Gerd Udo Feller	Friedrich Dettmer	Marienhof	1995–2007	12 years
Liz Baffoe	Mary Sarikakis	Lindenstraße	1995–2007	12 years
Nadine Spruß	Valerie Zenker	Lindenstraße	1990–2002	12 years
Ole Dahl	Paul Dağdelen	Lindenstraße	2002—	12 years
Kostas Papanastasiou	Panaiotis Sarikakis	Lindenstraße	1985–1996, 1999, 2000, 2001, 2010, 2012	11 years
Thorsten Nindel	Zorro Pichelsteiner	Lindenstraße	1988–1998, 2007–2008, 2010	11 years
Susanne Steidle	Regina Zirkowski	Marienhof	1996–2007	11 years
Alfonso Losa	Carlos Garcia	Marienhof	2000–2011	11 years
Simon-Paul Wagner	Marlon Berger	Marienhof	2000–2011	11 years
Antonio Putignano	Stefano Maldini	Marienhof	2000–2011	11 years
Heike Ulrich	Tanja Maldini	Marienhof	2000–2011	11 years
Michael Jäger	Matthias Kruse	Marienhof	1995–2006, 2007	11 years
Moritz Hein	Max Zenker	Lindenstraße	1987–1998	11 years
Jacqueline Svilarov	Nina Zöllig	Lindenstraße	1999–2007, 2011—	11 years
Ulrike Frank	Katrin Flemming	Gute Zeiten, schlechte Zeiten	2002–2003, 2004—	11 years
Giovanni Arvaneh	Sülo Özgentürk	Marienhof	1994–1997, 1998, 2003–2010	10 years
Sigo Lorfeo	Paolo Varese	Lindenstraße	1993–2003, 2006	10 years
Leonore Capell	Andrea Süsskind	Marienhof	1995–2005	10 years
Renate Köhler	Marlene Schmitt	Lindenstraße	1991–2001	10 years
