Team	City	State/Province	League	Est.
Pittsburgh Pirates	Pittsburgh	Pennsylvania	MLB	1882
Pittsburgh Steelers	Pittsburgh	Pennsylvania	NFL	1933
Portland Trail Blazers	Portland	Oregon	NBA	1970
Portland Timbers	Portland	Oregon	MLS	2011
Sacramento Kings	Sacramento	California	NBA	1985
Real Salt Lake	Sandy	Utah	MLS	2005
San Antonio Spurs	San Antonio	Texas	NBA	1973
San Diego Chargers	San Diego	California	NFL	1961
San Diego Padres	San Diego	California	MLB	1969
San Francisco 49ers	San Francisco	California	NFL	1946
San Francisco Giants	San Francisco	California	MLB	1958
San Jose Earthquakes	San Jose	California	MLS	1996
San Jose Sharks	San Jose	California	NHL	1991
Saskatchewan Roughriders	Regina	Saskatchewan	CFL	1910
St. Louis Blues	St. Louis	Missouri	NHL	1967
St. Louis Cardinals	St. Louis	Missouri	MLB	1882
St. Louis Rams	St. Louis	Missouri	NFL	1995
Seattle Mariners	Seattle	Washington	MLB	1977
Seattle Seahawks	Seattle	Washington	NFL	1976
Seattle Sounders FC	Seattle	Washington	MLS	2009
Tampa Bay Buccaneers	Tampa	Florida	NFL	1976
Tampa Bay Lightning	Tampa	Florida	NHL	1993
Tampa Bay Rays	St. Petersburg	Florida	MLB	1998
Tennessee Titans	Nashville	Tennessee	NFL	1997
Texas Rangers	Arlington	Texas	MLB	1972
Toronto Argonauts	Toronto	Ontario	CFL	1873
Toronto Blue Jays	Toronto	Ontario	MLB	1977
Toronto FC	Toronto	Ontario	MLS	2007
Toronto Maple Leafs	Toronto	Ontario	NHL	1917
Toronto Raptors	Toronto	Ontario	NBA	1995
Utah Jazz	Salt Lake City	Utah	NBA	1979
Vancouver Canucks	Vancouver	British Columbia	NHL	1970
Vancouver Whitecaps FC	Vancouver	British Columbia	MLS	2011
Washington Capitals	Washington	District of Columbia	NHL	1974
Washington Nationals	Washington	District of Columbia	MLB	2005
Washington Redskins	Landover	Maryland	NFL	1937
Washington Wizards	Washington	District of Columbia	NBA	1973
Winnipeg Blue Bombers	Winnipeg	Manitoba	CFL	1930
Winnipeg Jets	Winnipeg	Manitoba	NHL	2011
