Title and Source	Developer(s)/Publisher(s)	JP -210-	NA -350-	PAL -295-	Wii Points
My Little Baby	dtp young entertainment	No	Yes	Yes	600
My Zoo Animal Life: Dōbutsu Fureai Seikatsu JP	Hudson Soft	Yes	Yes	Yes	500
Möbius Drive	Jorudan Co. Ltd.	Yes	No	No	800
Newton vs. The Horde	RadiationBurn	No	Yes	Yes	500
Niki – Rock 'n' Ball	Bplus	No	Yes	Yes	500
NyxQuest: Kindred Spirits	Over The Top Games , Agatsuma Entertainment	Yes	Yes	Yes	1000 900 JP
Oekaki Logic	G-Mode	Yes	No	No	500
Onslaught Madsecta JP	Hudson Soft , Shade	Yes	Yes	Yes	1000
Order!	Poisoft	Yes	No	No	1000
Osu! Exercise Dōjō	IE Institute Co., Ltd.	Yes	No	No	800
Othello	Arc System Works	Yes	No	No	500
Ouchi de Mugen Puchi Puchi Wii	Namco Bandai	Yes	No	No	800
Overflow	Digital Leisure	No	Yes	No	500
Overturn Overturn: Mecha Wars PAL	Studio Zan , Gamebridge	Yes	Yes	Yes	800
Paint Splash	KnapNok Games	No	Yes	Yes	500
Pallurikio	Playstos	No	Yes	Yes	1000
Paper Wars: Cannon Fodder	iFun4all	No	Yes	Yes	500
Pearl Harbor Trilogy - 1941: Red Sun Rising	Legendo Entertainment	No	Yes	Yes	700
Phalanx	Zoom Inc.	Yes	No	No	500
Physio Fun: Balance Training	Kaasa Solution	No	No	Yes	2000
Physio Fun: Pelvic Floor Training	Kaasa Solution	No	No	Yes	1000
Pinocchio's Puzzle	EnjoyUp Games	No	Yes	No	500
Pirates: The Key of Dreams	Oxygen Games	No	Yes	Yes	1000
Planet Fish (no longer available in North America)	Ludia	No	Yes	No	500
Play with Birds	Games Farm	No	Yes	No	500
Plättchen Twist 'n' Paint	Bplus	No	Yes	Yes	1500 PAL 1000
Poker Puzzle Pokers Wii JP	Milestone , UFO Interactive	Yes	No	No	500
Pokosuka Racing	Recom	Yes	No	No	500
Pokémon Rumble Melee! Pokemon Scramble JP	Nintendo , Ambrella	Yes	Yes	Yes	1500
Pong Toss Pro - Frat Party Games	JV Games	No	Yes	No	600
Ponjan Wii	Takara Tomy	Yes	No	No	1000
Princess Ai Monogatari (no longer available)	Sunsoft	Yes	No	No	500
Protöthea	Digital Builders , Sabarasa , Ubisoft	No	Yes	Yes	1000
Pub Darts	Big Blue Bubble	No	Yes	Yes	500
Pucca's kisses game	BigBen Interactive	No	Yes	Yes	1000 500 NA
Rabbids Lab	Ubisoft	No	Yes	Yes	500
Rage of the Gladiator	Ghostfire Games	No	Yes	Yes	1000
Rainbow Islands: Towering Adventure!	Taito	Yes	Yes	Yes	800
Reel Fishing Challenge Fish Eyes Challenge JP	Marvelous Entertainment , Natsume	Yes	Yes	Yes	500
Reel Fishing Challenge II	Marvelous Entertainment , Natsume	No	Yes	Yes	500
Reel Fishing Ocean Challenge	Marvelous Entertainment , Natsume	No	Yes	Yes	500
Retro City Rampage	Vblank Entertainment Inc.	No	Yes	Yes	1000
Robin Hood: The Return of Richard	Nordcurrent	No	Yes	Yes	500
Robocalypse: Beaver Defense	Vogster Entertainment	No	Yes	Yes	600
Robox	Dreambox Games	No	Yes	Yes	1000
Rock N’ Roll Climber	Vitei , Nintendo	Yes	Yes	Yes	800
Rubik's Puzzle Galaxy: RUSH	Two Tribes B.V.	No	Yes	Yes	600
Rush Rush Rally Racing	Senile Team	No	No	Yes	900
Saikyou Ginsei Gomoku Narabe	Silver Star Japan , Electronic Arts	Yes	No	No	500
Saikyou Ginsei Igo	Silver Star Japan , Electronic Arts	Yes	No	No	500
Saikyou Ginsei Mahjong	Silver Star Japan , Electronic Arts	Yes	No	No	500
Saikyou Ginsei Shogi	Silver Star Japan , Electronic Arts	Yes	No	No	500
Sandy Beach Beach de Oshiro wo Tsukutcha Wow! JP	Konami	Yes	Yes	Yes	500
Save the Furries	SDP Games	No	Yes	Yes	1000
Sekai no Omoshiro Party Game	SIMS Co., Ltd.	Yes	No	No	500
Sekai no Omoshiro Party Game 2	SIMS Co., Ltd.	Yes	No	No	500
Sexy Poker	Gameloft	No	Yes	Yes	500
ShadowPlay	Deep Fried Entertainment	No	Yes	No	800
Silver Star Chess Saikyou Ginsei Chess JP	Silver Star Japan , Electronic Arts , Agetec	Yes	Yes	No	500
Silver Star Reversi Saikyou Ginsei Reversi JP	Silver Star Japan , Electronic Arts , Agetec	Yes	Yes	No	500
Simple Series Vol. 1: The Block Kuzushi neo	Tam Soft , D3 Publisher	Yes	No	No	500
Simple Series Vol. 2: The Number Puzzle neo	Tam Soft , D3 Publisher	Yes	No	No	500
Simple Series Vol. 3: The Mahjong	Tam Soft , D3 Publisher	Yes	No	No	500
Simple Series Vol. 5: The Judo	Tam Soft , D3 Publisher	Yes	No	No	700
Snail Mail	Sandlot Games	No	Yes	No	600
Sneezies	Chillingo	No	Yes	Yes	500
Snowpack Park Penguin Seikatsu JP	Nintendo	Yes	Yes	No	800
Soccer Bashi	Icon Games	No	Yes	Yes	500
Soccer Up! NA Football Up! PAL	EnjoyUp Games	No	Yes	Yes	500
Solitaire	Cosmigo , GameOn	No	No	Yes	500
Sonic the Hedgehog 4: Episode I	Sega	Yes	Yes	Yes	1500 1000 JP
Sorcery Blade	Kemco	Yes	No	No	1000
Space Invaders Get Even	Taito , Cattle Call	Yes	Yes	Yes	500
Space Trek	Calaris	No	Yes	No	700
Spaceball Revolution	Virtual Toys	No	Yes	Yes	800
SPOGS Racing	D2C Games	No	Yes	Yes	1000
Spot the Differences!	Sanuk Games	No	Yes	Yes	500
Star Soldier R	Hudson Soft	Yes	Yes	Yes	800
Step Up!	GolemLabs & Zoozen	No	Yes	No	800
Stonekeep: Bones of the Ancestors	Alpine Studios , Interplay	No	Yes	No	500
Stop Stress: A Day of Fury	Abylight	No	Yes	Yes	800
Stunt Cars	Icon Games	No	Yes	Yes	800
Successfully Learning English: Year 2	Tivola	No	No	Yes	800
Successfully Learning English: Year 3	Tivola	No	No	Yes	800
Successfully Learning English: Year 4	Tivola	No	No	Yes	800
Successfully Learning English: Year 5	Tivola	No	No	Yes	800
Successfully Learning German: Year 2	Tivola	No	No	Yes	500
Successfully Learning German: Year 3	Tivola	No	No	Yes	500
Successfully Learning German: Year 4	Tivola	No	No	Yes	500
Successfully Learning German: Year 5	Tivola	No	No	Yes	500
Successfully Learning Mathematics: Year 2	Tivola	No	No	Yes	800
Successfully Learning Mathematics: Year 3	Tivola	No	No	Yes	800
Successfully Learning Mathematics: Year 4	Tivola	No	No	Yes	800
Successfully Learning Mathematics: Year 5	Tivola	No	No	Yes	800
Sudoku Challenge!	Digital Leisure	No	Yes	Yes	500
Sugu Suro Duo: New Pulsar R&V	Yamasa Entertainment	Yes	No	No	1000
Swords & Soldiers	Ronimo Games	No	Yes	Yes	1000
Tales of Elastic Boy: Mission 1	Lexis Numérique	No	Yes	Yes	600
Target Toss Pro: Bags	Incredible Technologies , n-Space	No	Yes	No	700
Target Toss Pro: Lawn Darts	Incredible Technologies , n-Space	No	Yes	No	700
Tenshi no Solitaire	G-Mode	Yes	No	No	500
Tetris Party	Hudson Soft	Yes	Yes	Yes	1200
Texas Hold'em Poker	Gameloft	No	Yes	Yes	600
Texas Hold'em Tournament	Digital Leisure	No	Yes	Yes	500
The Amazing Brain Train!	Grubby Games	No	Yes	No	600
The Mystery of Whiterock Castle	RTL Playtainment	No	Yes	Yes	700
The Three Musketeers: One for all!	Legendo Entertainment	No	Yes	Yes	900
The Will of Dr. Frankenstein	Enjoy Gaming	No	No	Yes	500
Tiki Towers	RealNetworks	No	Yes	No	500
TNT Racers	dtp Entertainment	No	Yes	Yes	1000
Toki Tori	Two Tribes B.V.	No	Yes	Yes	1000 NA 900
Tokyo City Nights	Gameloft	Yes	No	No	1000
Tomena Sanner Tomena Sanner Wii JP	Konami	Yes	Yes	Yes	500
Tomy Car Drive Shutsudou! Kinkyū Sharyou Hen	Takara Tomy	Yes	No	No	1000
Toribash Toribash: Violence Perfected PAL	Nabi Studios	No	Yes	Yes	1000
Trenches Generals	Fishing Cactus	No	Yes	Yes	700
Triple Jumping Sports	The Code Monkeys	No	Yes	No	500
Triple Running Sports	The Code Monkeys	No	Yes	No	500
Triple Shot Sports	The Code Monkeys	No	Yes	No	500
Triple Throwing Sports	The Code Monkeys	No	Yes	No	500
Tsūshin Taikyoku: Hayazashi Shogi Sandan	Nintendo	Yes	No	No	1000
Tsūshin Taikyoku: Igo Dōjō 2700-Mon	Nintendo	Yes	No	No	1000
Tumblebugs 2	Wildfire Studios , Gameshastra	No	Yes	No	800
TV Show King	Gameloft	Yes	Yes	Yes	1000
TV Show King 2	Gameloft	No	Yes	Yes	800
Ubongo	Korner Entertainment	No	Yes	Yes	800
UNO	Gameloft	Yes	Yes	Yes	1000 NA 800 JP 500 PAL
Unou Kids: Okigaru Unou Training	IE Institute Co., Ltd.	Yes	No	No	800
Urbanix	Nordcurrent	No	Yes	Yes	500
V.I.P. Casino: Blackjack	High Voltage Software	No	Yes	No	700
Vampire Crystals	Shanblue Interactive	No	Yes	Yes	1000
Violin Paradise	Keystone Game Studio	No	Yes	Yes	700
Viral Survival peakvox escape virus JP	Fun Unit , Nippon Ichi Software , Peakvox	Yes	Yes	Yes	500
Voodoo Dice	Exkee , Ubisoft	No	Yes	Yes	1000
WarMen Tactics	Calaris	No	Yes	No	800
Water Warfare Bang Bang Kids JP	Hudson Soft	Yes	Yes	Yes	800
Wild West Guns	Gameloft	Yes	Yes	Yes	1000
Word Searcher	Digital Leisure	No	Yes	Yes	500
Word Searcher Deluxe	Digital Leisure	No	Yes	No	500
World of Goo Goo no Wakusei JP	2D Boy , Nintendo	Yes	Yes	Yes	1500
Xmas Puzzle	EnjoyUp Games	No	Yes	No	500
Yakuman Wii: Ide Yosuke no Kenkou Mahjong	Nintendo , Spice Games	Yes	No	No	1000
Yard Sale Hidden Treasures: Sunnyville	Konami	No	Yes	Yes	500
Yomi Kikase Asobi Wii	Perpetuum	Yes	No	No	1000
You, Me, and the Cubes Kimi to Boku to Rittai JP	Nintendo , Fyto	Yes	Yes	Yes	1000
Yummy Yummy Cooking Jam	Virtual Toys	No	Yes	Yes	1000
Zombie Panic in Wonderland Zombie in Wonderland JP	Akaoni Studio , Marvelous Entertainment	Yes	Yes	Yes	1000 800 JP
Zombii Attack	Gamers Digital , Motiviti	No	Yes	No	500
