Year	Winner	Jockey	Trainer	Owner	Distance (Miles)	Time
1978	Cum Laude Laurie	Angel Cordero, Jr.	Thomas L. Rondinello	Daniel M. Galbreath	1-3/16	1:55.80
1977	Cox's Ridge	Eddie Maple	Joseph B. Cantey	Loblolly Stable	1-3/16	1:55.80
1976	It's Freezing	Jacinto Vasquez	Anthony Basile	Bwamazon Farm	1-3/16	1:56.60
1975	Hail The Pirates	Ron Turcotte	Thomas L. Rondinello	Daniel M. Galbreath	1-3/16	1:55.60
1974	Free Hand	Jose Amy	Pancho Martin	Sigmund Sommer	1-3/16	1:55.00
1973	True Knight	Angel Cordero, Jr.	Thomas L. Rondinello	Darby Dan Farm	1-3/16	1:55.00
1972	Sunny And Mild	Michael Venezia	W. Preston King	Harry Rogosin	1-3/16	1:54.40
1971	Red Reality	Jorge Velasquez	MacKenzie Miller	Cragwood Stables	1-1/8	1:49.60
1970	Best Turn	Larry Adams	Reggie Cornell	Calumet Farm	1-1/8	1:50.00
1969	Vif	Larry Adams	Clarence Meaux	Harvey Peltier	1-1/8	1:49.20
1968	Irish Dude	Sandino Hernandez	Jack Bradley	Richard W. Taylor	1-1/8	1:49.60
1967	Mr. Right	Heliodoro Gustines	Evan S. Jackson	Mrs. Peter Duchin	1-1/8	1:49.60
1966	Amberoid	Walter Blum	Lucien Laurin	Reginald N. Webster	1-1/8	1:50.60
1965	Prairie Schooner	Eddie Belmonte	James W. Smith	High Tide Stable	1-1/8	1:50.20
1964	Third Martini	William Boland	H. Allen Jerkens	Hobeau Farm	1-1/8	1:50.60
1963	Uppercut	Manuel Ycaza	Willard C. Freeman	William Harmonay	1-1/8	1:35.40
1962	Grid Iron Hero	Manuel Ycaza	Laz Barrera	Emil Dolce	1 mile	1:34.00
1961	Manassa Mauler	Braulio Baeza	Pancho Martin	Emil Dolce	1 mile	1:36.20
1960	Cranberry Sauce	Heliodoro Gustines	not found	Elmendorf Farm	1 mile	1:36.20
1959	Whitley	Eric Guerin	Max Hirsch	W. Arnold Hanger	1 mile	1:36.40
1958	Oh Johnny	William Boland	Norman R. McLeod	Mrs. Wallace Gilroy	1-1/16	1:43.40
1957	Bold Ruler	Eddie Arcaro	James E. Fitzsimmons	Wheatley Stable	1-1/16	1:42.80
1956	Blessbull	Willie Lester	not found	Morris Sims	1-1/16	1:42.00
1955	Fabulist	Ted Atkinson	William C. Winfrey	High Tide Stable	1-1/16	1:43.60
1954	Find	Eric Guerin	William C. Winfrey	Alfred G. Vanderbilt II	1-1/16	1:44.00
1953	Flaunt	S. Cole	Hubert W. Williams	Arnold Skjeveland	1-1/16	1:44.20
1952	County Delight	Dave Gorman	James E. Ryan	Rokeby Stable	1-1/16	1:43.60
1951	Sheilas Reward	Ovie Scurlock	Eugene Jacobs	Mrs. Louis Lazare	1-1/16	1:44.60
1950	Three Rings	Hedley Woodhouse	Willie Knapp	Mrs. Evelyn L. Hopkins	1-1/16	1:44.60
1949	Three Rings	Ted Atkinson	Willie Knapp	Mrs. Evelyn L. Hopkins	1-1/16	1:47.40
1948	Knockdown	Ferrill Zufelt	Tom Smith	Maine Chance Farm	1-1/16	1:44.60
1947	Gallorette	Job Dean Jessop	Edward A. Christmas	William L. Brann	1-1/16	1:45.40
1946	Helioptic	Paul Miller	not found	William Goadby Loew	1-1/16	1:43.20
1945	Olympic Zenith	Conn McCreary	Willie Booth	William G. Helis	1-1/16	1:45.60
1944	First Fiddle	Johnny Longden	Edward Mulrenan	Mrs. Edward Mulrenan	1-1/16	1:44.20
1943	The Rhymer	Conn McCreary	John M. Gaver, Sr.	Greentree Stable	1-1/16	1:45.00
1942	Waller	Billie Thompson	A. G. Robertson	John C. Clark	1-1/16	1:44.00
1941	Salford II	Don Meade	not found	Ralph B. Strassburger	1-1/16	1:44.20
1940	He Did	Eddie Arcaro	J. Thomas Taylor	W. Arnold Hanger	1-1/16	1:43.20
1939	Lovely Night	Johnny Longden	Henry McDaniel	Mrs. F. Ambrose Clark	1 mile	1:36.40
1938	War Admiral	Charles Kurtsinger	George Conway	Glen Riddle Farm	1 mile	1:36.80
1937	Snark	Johnny Longden	James E. Fitzsimmons	Wheatley Stable	1 mile	1:37.40
1936	Good Gamble	Samuel Renick	Bud Stotler	Alfred G. Vanderbilt II	1 mile	1:37.20
1935	King Saxon	Calvin Rainey	Charles Shaw	C. H. Knebelkamp	1 mile	1:37.20
1934	Singing Wood	Robert Jones	James W. Healy	Liz Whitney	1 mile	1:38.60
1933	Kerry Patch	Robert Wholey	Joseph A. Notter	Lee Rosenberg	1 mile	1:38.00
1932	Halcyon	Hank Mills	T. J. Healey	C. V. Whitney	1 mile	1:38.00
1931	Halcyon	G. Rose	T. J. Healey	C. V. Whitney	1 mile	1:38.40
1930	Kildare	John Passero	Norman Tallman	Newtondale Stable	1 mile	1:38.60
1929	Comstockery	Sidney Hebert	Thomas W. Murphy	Greentree Stable	1 mile	1:39.60
1928	Kentucky II	George Schreiner	Max Hirsch	A. Charles Schwartz	1 mile	1:38.80
1927	Light Carbine	James McCoy	M. J. Dunlevy	I. B. Humphreys	1 mile	1:36.80
1926	Macaw	Linus McAtee	James G. Rowe, Sr.	Harry Payne Whitney	1 mile	1:37.00
1925	Mad Play	Laverne Fator	Sam Hildreth	Rancocas Stable	1 mile	1:36.60
1924	Mad Hatter	Earl Sande	Sam Hildreth	Rancocas Stable	1 mile	1:36.60
1923	Zev	Earl Sande	Sam Hildreth	Rancocas Stable	1 mile	1:37.00
1922	Grey Lag	Laverne Fator	Sam Hildreth	Rancocas Stable	1 mile	1:38.00
1921	John P. Grier	Frank Keogh	James G. Rowe, Sr.	Harry Payne Whitney	1 mile	1:36.00
1920	Cirrus	Lavelle Ensor	Sam Hildreth	Sam Hildreth	1 mile	1:38.00
1919	Star Master	Merritt Buxton	Walter B. Jennings	A. Kingsley Macomber	1 mile	1:37.60
1918	Roamer	Lawrence Lyke	A. J. Goldsborough	Andrew Miller	1 mile	1:36.60
1917	Old Rosebud	Frank Robinson	Frank D. Weir	F. D. Weir & Hamilton C. Applegate	1 mile	1:37.60
1916	Short Grass	Frank Keogh	not found	Emil Herz	1 mile	1:36.40
1915	Roamer	James Butwell	A. J. Goldsborough	Andrew Miller	1 mile	1:39.20
1914	Flying Fairy	Tommy Davies	J. Simon Healy	Edward B. Cassatt	1 mile	1:42.20
1913	No Race	No Race	No Race	No Race	1 mile	no race
1912	No Race	No Race	No Race	No Race	1 mile	no race
1911	No Race	No Race	No Race	No Race	1 mile	no race
1910	Arasee	Buddy Glass	Andrew G. Blakely	Samuel Emery	1 mile	1:39.80
1909	No Race	No Race	No Race	No Race	1 mile	no race
1908	Jack Atkin	Phil Musgrave	Herman R. Brandt	Barney Schreiber	1 mile	1:39.00
1907	W. H. Carey	George Mountain	James Blute	Richard F. Carman	1 mile	1:40.00
1906	Ram's Horn	L. Perrine	W. S. "Jim" Williams	W. S. "Jim" Williams	1 mile	1:39.40
1905	St. Valentine	William Crimmins	John Shields	Alexander Shields	1 mile	1:39.20
1904	Rosetint	Thomas H. Burns	James Boden	John Boden	1 mile	1:39.20
1903	Yellow Tail	Willie Shaw	H. E. Rowell	John Hackett	1m 70yds	1:45.20
1902	Margravite	Otto Wonderly	not found	Charles Fleischmann Sons	1m 70 yds	1:46.00
