Member	Party	Electorate	State	In office
Hon Gary Gray	Labor	Brand	WA	2007–present
Sharon Grierson	Labor	Newcastle	NSW	2001–2013
Hon Alan Griffin	Labor	Bruce	Vic	1993–present
Barry Haase	Liberal	Kalgoorlie	WA	1998–2013
Damian Hale	Labor	Solomon	NT	2007–2010
Jill Hall	Labor	Shortland	NSW	1998–present
Luke Hartsuyker	National	Cowper	NSW	2001–present
Alex Hawke	Liberal	Mitchell	NSW	2007–present
Hon David Hawker	Liberal	Wannon	Vic	1983–2010
Chris Hayes	Labor	Werriwa	NSW	2005–present
Hon Joe Hockey	Liberal	North Sydney	NSW	1996–present
Kay Hull	National	Riverina	NSW	1998–2010
Hon Greg Hunt	Liberal	Flinders	Vic	2001–present
Steve Irons	Liberal	Swan	WA	2007–present
Julia Irwin	Labor	Fowler	NSW	1998–2010
Sharryn Jackson	Labor	Hasluck	WA	2001–2004, 2007–2010
Harry Jenkins	Labor	Scullin	Vic	1986–2013
Dr Dennis Jensen	Liberal	Tangney	WA	2004–present
Michael Johnson	Liberal/Independent [6 ]	Ryan	Qld	2001–2010
Hon Bob Katter	Independent	Kennedy	Qld	1993–present
Michael Keenan	Liberal	Stirling	WA	2004–present
Hon Mike Kelly	Labor	Eden-Monaro	NSW	2007–present
Hon Duncan Kerr	Labor	Denison	Tas	1987–2010
Catherine King	Labor	Ballarat	Vic	2001–present
Dr Andrew Laming	Liberal	Bowman	Qld	2004–present
Hon Sussan Ley	Liberal	Farrer	NSW	2001–present
Hon Peter Lindsay	Liberal	Herbert	Qld	1996–2010
Kirsten Livermore	Labor	Capricornia	Qld	1998–2013
Hon Robert McClelland	Labor	Barton	NSW	1996–2013
Hon Ian Macfarlane	Liberal	Groom	Qld	1998–present
Hon Peter McGauran [1 ]	National	Gippsland	Vic	1983–2008
Hon Maxine McKew	Labor	Bennelong	NSW	2007–2010
Hon Bob McMullan	Labor	Fraser	ACT	1996–2010
Hon Jenny Macklin	Labor	Jagajaga	Vic	1996–present
Nola Marino	Liberal	Forrest	WA	2007–present
Louise Markus	Liberal	Greenway	NSW	2004–present
Richard Marles	Labor	Corio	Vic	2007–present
Margaret May	Liberal	McPherson	Qld	1998–2010
Daryl Melham	Labor	Banks	NSW	1990–2013
Sophie Mirabella	Liberal	Indi	Vic	2001–present
Scott Morrison	Liberal	Cook	NSW	2007–present
Hon Judi Moylan	Liberal	Pearce	WA	1993–2013
Hon John Murphy	Labor	Lowe	NSW	1998–present
Belinda Neal	Labor	Robertson	NSW	2007–2010
Hon Brendan Nelson	Liberal	Bradfield	NSW	1996–2009
Shayne Neumann	Labor	Blair	Qld	2007–present
Paul Neville	National	Hinkler	Qld	1993–2013
Hon Brendan O'Connor	Labor	Gorton	Vic	2001–present
Kelly O'Dwyer [5 ]	Liberal	Higgins	Vic	2009–present
Rob Oakeshott [3 ]	Independent	Lyne	NSW	2008–2013
Julie Owens	Labor	Parramatta	NSW	2004–present
Melissa Parke	Labor	Fremantle	WA	2007–present
Hon Chris Pearce	Liberal	Aston	Vic	2001–2010
Graham Perrett	Labor	Moreton	Qld	2007–present
Hon Tanya Plibersek	Labor	Sydney	NSW	1998–present
Hon Roger Price	Labor	Chifley	NSW	1984–2010
Hon Christopher Pyne	Liberal	Sturt	SA	1993–present
Brett Raguse	Labor	Forde	Qld	2007–2010
Rowan Ramsey	Liberal	Grey	SA	2007–present
Don Randall	Liberal	Canning	WA	1996–1998, 2001–present
Kerry Rea	Labor	Bonner	Qld	2007–2010
Bernie Ripoll	Labor	Oxley	Qld	1998–present
Amanda Rishworth	Labor	Kingston	SA	2007–present
Hon Andrew Robb	Liberal	Goldstein	Vic	2004–present
Stuart Robert	Liberal	Fadden	Qld	2007–present
Hon Nicola Roxon	Labor	Gellibrand	Vic	1998–2013
Hon Kevin Rudd	Labor	Griffith	Qld	1998–present
Hon Philip Ruddock	Liberal	Berowra	NSW	1973–present
Janelle Saffin	Labor	Page	NSW	2007–2013
Alby Schultz	Liberal	Hume	NSW	1998–2013
Hon Bruce Scott	National	Maranoa	Qld	1990–present
Patrick Secker	Liberal	Barker	SA	1998–2013
Hon Bill Shorten	Labor	Maribyrnong	Vic	2007–present
Sid Sidebottom	Labor	Braddon	Tas	1998–2004, 2007–2013
Luke Simpkins	Liberal	Cowan	WA	2007–present
Hon Peter Slipper	Liberal	Fisher	Qld	1984–1987, 1993–2013
Hon Stephen Smith	Labor	Perth	WA	1993–2013
Hon Tony Smith	Liberal	Casey	Vic	2001–present
Hon Warren Snowdon	Labor	Lingiari	NT	1987–1996, 1998–present
Hon Alex Somlyay	Liberal	Fairfax	Qld	1990–2013
Dr Andrew Southcott	Liberal	Boothby	SA	1996–present
Hon Dr Sharman Stone	Liberal	Murray	Vic	1996–present
Jon Sullivan	Labor	Longman	Qld	2007–2010
Hon Wayne Swan	Labor	Lilley	Qld	1993–1996, 1998–present
Mike Symon	Labor	Deakin	Vic	2007–2013
Hon Lindsay Tanner	Labor	Melbourne	Vic	1993–2010
Craig Thomson	Labor	Dobell	NSW	2007–2013
Kelvin Thomson	Labor	Wills	Vic	1996–present
Chris Trevor	Labor	Flynn	Qld	2007–2010
Hon Warren Truss	National	Wide Bay	Qld	1990–present
Hon Wilson Tuckey	Liberal	O'Connor	WA	1980–2010
Hon Malcolm Turnbull	Liberal	Wentworth	NSW	2004–present
Jim Turnour	Labor	Leichhardt	Qld	2007–2010
Hon Mark Vaile [3 ]	National	Lyne	NSW	1993–2008
Hon Danna Vale	Liberal	Hughes	NSW	1996–2010
Maria Vamvakinou	Labor	Calwell	Vic	2001–present
Dr Mal Washer	Liberal	Moore	WA	1998–2013
Tony Windsor	Independent	New England	NSW	2001–2013
Jason Wood	Liberal	La Trobe	Vic	2004–2010
Tony Zappia	Labor	Makin	SA	2007–present
