Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	14 August 1995	Cincinnati, US (2)	Hard	Mark Woodforde	Mark Knowles Daniel Nestor	6–2, 3–0, ret.
Winner	11 September 1995	US Open, New York (1)	Hard	Mark Woodforde	Alex O'Brien Sandon Stolle	6–3, 6–3
Runner-up	23 October 1995	Vienna , Austria	Carpet	Mark Woodforde	Ellis Ferreira Jan Siemerink	4–6, 5–7
Winner	8 January 1996	Adelaide, Australia (2)	Hard	Mark Woodforde	Jonas Björkman Tommy Ho	7–5, 7–6
Runner-up	26 February 1996	Memphis, USA	Hard (i)	Mark Woodforde	Mark Knowles Daniel Nestor	4–6, 5–7
Winner	4 March 1996	Philadelphia, US (2)	Carpet	Mark Woodforde	Byron Black Grant Connell	7–6, 6–2
Winner	18 March 1996	Indian Wells , US	Hard	Mark Woodforde	Brian MacPhie Michael Tebbutt	1–6, 6–2, 6–2
Winner	1 April 1996	Miami, US (2)	Hard	Mark Woodforde	Ellis Ferreira Patrick Galbraith	6–1, 6–3
Winner	22 April 1996	Tokyo, Japan (2)	Hard	Mark Woodforde	Mark Knowles Rick Leach	6–2, 6–3
Winner	20 May 1996	Coral Springs, US (2)	Clay	Mark Woodforde	Ivan Baron Brett Hansen-Dent	6–3, 6–3
Winner	17 June 1996	Queen's Club, UK (3)	Grass	Mark Woodforde	Sébastien Lareau Alex O'Brien	6–3, 7–6
Winner	8 July 1996	Wimbledon, London (4)	Grass	Mark Woodforde	Byron Black Grant Connell	4–6, 6–1, 6–3, 6–2
Winner	29 July 1996	Summer Olympics , US	Hard	Mark Woodforde	Neil Broad Tim Henman	6–4, 6–4, 6–2
Winner	9 September 1996	US Open, New York (2)	Hard	Mark Woodforde	Jacco Eltingh Paul Haarhuis	4–6, 7–6, 7–6
Winner	7 October 1996	Singapore (2)	Carpet	Mark Woodforde	Martin Damm Andrei Olhovskiy	7–6, 7–6
Winner	17 November 1996	Tennis Masters Cup, Hartford (2)	Carpet	Mark Woodforde	Sébastien Lareau Alex O'Brien	6–4, 5–7, 6–2, 7–6
Runner-up	6 January 1997	Adelaide, Australia	Hard	Mark Woodforde	Patrick Rafter Bryan Shelton	4–6, 6–1, 3–6
Winner	27 January 1997	Australian Open, Melbourne (2)	Hard	Mark Woodforde	Sébastien Lareau Alex O'Brien	4–6, 7–5, 7–5, 6–3
Winner	31 March 1997	Miami, US (3)	Hard	Mark Woodforde	Mark Knowles Daniel Nestor	7–6, 7–6
Runner-up	9 June 1997	French Open , Paris	Clay	Mark Woodforde	Yevgeny Kafelnikov Daniel Vacek	6–7, 6–4, 3–6
Winner	7 July 1997	Wimbledon, London (5)	Grass	Mark Woodforde	Jacco Eltingh Paul Haarhuis	7–6, 7–6, 5–7, 6–3
Winner	11 August 1997	Cincinnati, US (3)	Hard	Mark Woodforde	Mark Philippoussis Patrick Rafter	7–6, 4–6, 6–4
Winner	27 October 1997	Stuttgart , Germany (4)	Carpet	Mark Woodforde	Rick Leach Jonathan Stark	6–3, 6–3
Winner	19 January 1998	Sydney, Australia (2)	Hard	Mark Woodforde	Jacco Eltingh Daniel Nestor	6–3, 7–5
Runner-up	2 February 1998	Australian Open, Melbourne	Hard	Mark Woodforde	Jonas Björkman Jacco Eltingh	2–6, 7–5, 6–2, 4–6, 3–6
Winner	16 February 1998	San Jose , US (1)	Hard (i)	Mark Woodforde	Nelson Aerts André Sá	6–1, 7–5
Winner	23 February 1998	Memphis, US (3)	Hard (i)	Mark Woodforde	Ellis Ferreira David Roditi	6–3, 6–4
Runner-up	27 April 1998	Monte Carlo , Monaco	Clay	Mark Woodforde	Jacco Eltingh Paul Haarhuis	4–6, 2–6
Winner	4 May 1998	Munich , Germany	Clay	Mark Woodforde	Joshua Eagle Andrew Florent	6–0, 6–3
Runner-up	6 July 1998	Wimbledon, London	Grass	Mark Woodforde	Jacco Eltingh Paul Haarhuis	6–2, 4–6, 6–7, 7–5, 8–10
Runner-up	12 October 1998	Shanghai , China	Carpet	Mark Woodforde	Mahesh Bhupathi Leander Paes	4–6, 7–6, 6–7
Winner	19 October 1998	Singapore (3)	Carpet	Mark Woodforde	Mahesh Bhupathi Leander Paes	6–2, 6–3
Winner	15 February 1999	San Jose, US (2)	Hard (i)	Mark Woodforde	Aleksandar Kitinov Nenad Zimonjić	7–5, 6–7, 6–4
Winner	22 February 1999	Memphis, US (4)	Hard (i)	Mark Woodforde	Sébastien Lareau Alex O'Brien	6–3, 6–4
Winner	26 April 1999	Orlando , US (3)	Clay	Jim Courier	Bob Bryan Mike Bryan	7–6, 6–4
Runner-up	3 May 1999	Atlanta , USA	Clay	Mark Woodforde	Patrick Galbraith Justin Gimelstob	7–5, 6–7, 3–6
Runner-up	14 June 1999	Queen's Club, UK	Grass	Mark Woodforde	Sébastien Lareau Alex O'Brien	3–6, 6–7
Runner-up	16 August 1999	Cincinnati, USA	Hard	Mark Woodforde	Byron Black Jonas Björkman	3–6, 6–7
Runner-up	11 October 1999	Shanghai, China	Hard	Mark Woodforde	Sébastien Lareau Daniel Nestor	5–7, 3–6
Runner-up	18 October 1999	Singapore	Carpet	Mark Woodforde	Max Mirnyi Eric Taino	3–6, 4–6
Winner	10 January 2000	Adelaide, Australia (3)	Hard	Mark Woodforde	Lleyton Hewitt Sandon Stolle	6–4, 6–2
Winner	17 January 2000	Sydney, Australia (3)	Hard	Mark Woodforde	Lleyton Hewitt Sandon Stolle	7–5, 6–4
Winner	3 April 2000	Miami, US (4)	Hard	Mark Woodforde	Martin Damm Dominik Hrbatý	6–3, 6–4
Winner	22 May 2000	Hamburg , Germany (1)	Clay	Mark Woodforde	Wayne Arthurs Sandon Stolle	6–7, 6–4, 6–3
Winner	12 June 2000	French Open, Paris	Clay	Mark Woodforde	Paul Haarhuis Sandon Stolle	7–6, 6–4
Winner	19 June 2000	Queen's Club, UK (4)	Grass	Mark Woodforde	Jonathan Stark Eric Taino	6–7, 6–3, 7–6
Winner	10 July 2000	Wimbledon, London (6)	Grass	Mark Woodforde	Paul Haarhuis Sandon Stolle	6–3, 6–4, 6–1
Winner	14 August 2000	Cincinnati, US (4)	Hard	Mark Woodforde	Ellis Ferreira Rick Leach	7–6, 6–4
Runner-up	2 October 2000	Summer Olympics , Australia	Hard	Mark Woodforde	Sébastien Lareau Daniel Nestor	7–5, 3–6, 4–6, 6–7
Runner-up	8 January 2001	Adelaide, Australia	Hard	Wayne Arthurs	David Macpherson Grant Stafford	7–6, 4–6, 4–6
Runner-up	15 January 2001	Sydney, Australia	Hard	Jonas Björkman	Daniel Nestor Sandon Stolle	6–2, 6–7, 6–7
Winner	29 January 2001	Australian Open, Melbourne (3)	Hard	Jonas Björkman	Byron Black David Prinosil	6–1, 5–7, 6–4, 6–4
Runner-up	19 March 2001	Indian Wells, USA	Hard	Jonas Björkman	Wayne Ferreira Yevgeny Kafelnikov	2–6, 5–7
Runner-up	2 April 2001	Miami, USA	Hard	Jonas Björkman	Jiří Novák David Rikl	5–7, 6–7
Winner	23 April 2001	Monte Carlo, Monaco (1)	Clay	Jonas Björkman	Joshua Eagle Andrew Florent	3–6, 6–4, 6–2
Winner	21 May 2001	Hamburg, Germany (2)	Clay	Jonas Björkman	Daniel Nestor Sandon Stolle	7–6, 3–6, 6–3
Runner-up	29 October 2001	Stockholm , Sweden	Hard (i)	Jonas Björkman	Donald Johnson Jared Palmer	3–6, 6–4, 3–6
Winner	14 January 2002	Auckland , New Zealand	Hard	Jonas Björkman	Martín García Cyril Suk	7–6, 7–6
Winner	22 April 2002	Monte Carlo, Monaco (2)	Clay	Jonas Björkman	Paul Haarhuis Yevgeny Kafelnikov	6–3, 3–6, [10–7]
Runner-up	20 May 2002	Hamburg, Germany	Clay	Jonas Björkman	Mahesh Bhupathi Jan-Michael Gambill	2–6, 4–6
Runner-up	17 June 2002	Halle , Germany	Grass	Jonas Björkman	David Prinosil David Rikl	6–4, 6–7, 5–7
Winner	8 July 2002	Wimbledon, London (7)	Grass	Jonas Björkman	Mark Knowles Daniel NestoR	6–1, 6–2, 6–7, 7–5
Winner	15 July 2002	Båstad , Sweden	Clay	Jonas Björkman	Paul Hanley Michael Hill	7–6, 6–4
Winner	16 June 2003	Halle, Germany	Grass	Jonas Björkman	Martin Damm Cyril Suk	6–3, 6–4
Winner	7 July 2003	Wimbledon, London (8)	Grass	Jonas Björkman	Mahesh Bhupathi Max Mirnyi	3–6, 6–3, 7–6, 6–3
Runner-up	11 August 2003	Montreal , Canada	Hard	Jonas Björkman	Mahesh Bhupathi Max Mirnyi	3–6, 6–7
Winner	8 September 2003	US Open, New York (3)	Hard	Jonas Björkman	Bob Bryan Mike Bryan	5–7, 6–0, 7–5
Winner	27 October 2003	Stockholm, Sweden	Hard (i)	Jonas Björkman	Wayne Arthurs Paul Hanley	6–3, 6–4
Winner	19 January 2004	Sydney, Australia (4)	Hard	Jonas Björkman	Bob Bryan Mike Bryan	7–6, 7–5
Runner-up	5 April 2004	Miami, USA	Hard	Jonas Björkman	Wayne Black Kevin Ullyett	2–6, 6–7
Winner	21 June 2004	Nottingham , England	Grass	Paul Hanley	Rick Leach Brian MacPhie	6–4, 6–3
Winner	5 July 2004	Wimbledon, London (9)	Grass	Jonas Björkman	Julian Knowle Nenad Zimonjić	6–1, 6–4, 4–6, 6–4
Runner-up	9 August 2004	Cincinnati, USA	Hard	Jonas Björkman	Mark Knowles Daniel Nestor	2–6, 6–3, 3–6
Winner	8 November 2004	Paris , France	Carpet	Jonas Björkman	Wayne Black Kevin Ullyett	6–3, 6–4
Winner	17 January 2005	Sydney, Australia (5)	Hard	Mahesh Bhupathi	Arnaud Clément Michaël Llodra	6–3, 6–3
