County	Bush #	Bush %	Kerry #	Kerry %	Others #	Others %	Total
Greeley County, Kansas	577	79.59%	137	18.90%	11	1.52%	725
Greenwood County, Kansas	2247	70.28%	899	28.12%	51	1.60%	3197
Hamilton County, Kansas	874	78.88%	222	20.04%	12	1.08%	1108
Harper County, Kansas	2123	73.54%	717	24.84%	47	1.63%	2887
Harvey County, Kansas	9364	63.08%	5237	35.28%	244	1.64%	14845
Haskell County, Kansas	1309	84.67%	221	14.29%	16	1.03%	1546
Hodgeman County, Kansas	949	80.63%	222	18.86%	6	0.51%	1177
Jackson County, Kansas	3682	63.47%	2026	34.93%	93	1.60%	5801
Jefferson County, Kansas	5345	61.43%	3226	37.08%	130	1.49%	8701
Jewell County, Kansas	1494	78.10%	384	20.07%	35	1.83%	1913
Johnson County, Kansas	153718	61.16%	95002	37.80%	2624	1.04%	251344
Kearny County, Kansas	1160	80.67%	272	18.92%	6	0.42%	1438
Kingman County, Kansas	2795	74.41%	902	24.01%	59	1.57%	3756
Kiowa County, Kansas	1248	81.36%	253	16.49%	33	2.15%	1534
Labette County, Kansas	5345	59.05%	3582	39.58%	124	1.37%	9051
Lane County, Kansas	815	81.18%	179	17.83%	10	1.00%	1004
Leavenworth County, Kansas	15609	58.37%	10802	40.39%	332	1.24%	26743
Lincoln County, Kansas	1350	75.80%	390	21.90%	41	2.30%	1781
Linn County, Kansas	2954	64.12%	1592	34.56%	61	1.32%	4607
Logan County, Kansas	1252	82.37%	248	16.32%	20	1.32%	1520
Lyon County, Kansas	7604	59.18%	5003	38.93%	243	1.89%	12850
Marion County, Kansas	4393	73.30%	1496	24.96%	104	1.74%	5993
Marshall County, Kansas	3217	63.98%	1754	34.88%	57	1.13%	5028
McPherson County, Kansas	9353	71.68%	3520	26.98%	176	1.35%	13049
Meade County, Kansas	1721	82.46%	349	16.72%	17	0.81%	2087
Miami County, Kansas	8645	64.14%	4681	34.73%	153	1.14%	13479
Mitchell County, Kansas	2577	77.88%	687	20.76%	45	1.36%	3309
Montgomery County, Kansas	9435	68.06%	4254	30.69%	174	1.26%	13863
Morris County, Kansas	1945	66.88%	921	31.67%	42	1.44%	2908
Morton County, Kansas	1258	81.37%	275	17.79%	13	0.84%	1546
Nemaha County, Kansas	3966	73.68%	1336	24.82%	81	1.50%	5383
Neosho County, Kansas	4530	65.23%	2318	33.38%	97	1.40%	6945
Ness County, Kansas	1387	77.36%	379	21.14%	27	1.51%	1793
Norton County, Kansas	2069	80.35%	472	18.33%	34	1.32%	2575
Osage County, Kansas	4698	64.36%	2482	34.00%	119	1.63%	7299
Osborne County, Kansas	1552	76.45%	444	21.87%	34	1.67%	2030
Ottawa County, Kansas	2330	78.56%	595	20.06%	41	1.38%	2966
Pawnee County, Kansas	2144	72.78%	759	25.76%	43	1.46%	2946
Phillips County, Kansas	2206	79.07%	550	19.71%	34	1.22%	2790
Pottawatomie County, Kansas	6210	71.58%	2147	24.75%	319	3.68%	8676
Pratt County, Kansas	3075	71.21%	1181	27.35%	62	1.44%	4318
Rawlins County, Kansas	1408	82.29%	288	16.83%	15	0.88%	1711
Reno County, Kansas	17139	65.11%	8739	33.20%	444	1.69%	26322
Republic County, Kansas	2205	77.42%	601	21.10%	42	1.47%	2848
Rice County, Kansas	3124	72.62%	1116	25.94%	62	1.44%	4302
Riley County, Kansas	12415	60.53%	7774	37.91%	320	1.56%	20509
Rooks County, Kansas	2116	78.40%	529	19.60%	54	2.00%	2699
Rush County, Kansas	1224	68.53%	516	28.89%	46	2.58%	1786
Russell County, Kansas	2628	75.82%	795	22.94%	43	1.24%	3466
Saline County, Kansas	14758	65.54%	7365	32.71%	395	1.75%	22518
Scott County, Kansas	1897	83.79%	339	14.97%	28	1.24%	2264
Sedgwick County, Kansas	101111	62.46%	58619	36.21%	2161	1.33%	161891
Seward County, Kansas	3894	78.71%	1012	20.46%	41	0.83%	4947
Shawnee County, Kansas	43467	54.34%	35438	44.30%	1090	1.36%	79995
Sheridan County, Kansas	1133	81.63%	232	16.71%	23	1.66%	1388
Sherman County, Kansas	2063	75.46%	630	23.04%	41	1.50%	2734
Smith County, Kansas	1780	75.58%	538	22.85%	37	1.57%	2355
Stafford County, Kansas	1636	75.29%	506	23.29%	31	1.43%	2173
Stanton County, Kansas	780	82.54%	160	16.93%	5	0.53%	945
Stevens County, Kansas	1912	85.40%	308	13.76%	19	0.85%	2239
Sumner County, Kansas	6997	67.69%	3163	30.60%	177	1.71%	10337
Thomas County, Kansas	2925	77.92%	786	20.94%	43	1.15%	3754
Trego County, Kansas	1219	72.56%	434	25.83%	27	1.61%	1680
Wabaunsee County, Kansas	2464	70.10%	982	27.94%	69	1.96%	3515
Wallace County, Kansas	741	84.78%	112	12.81%	21	2.40%	874
Washington County, Kansas	2436	78.18%	632	20.28%	48	1.54%	3116
Wichita County, Kansas	861	81.69%	183	17.36%	10	0.95%	1054
Wilson County, Kansas	3204	74.27%	1037	24.04%	73	1.69%	4314
Woodson County, Kansas	1201	68.36%	527	29.99%	29	1.65%	1757
