Region	Citation	Court of Appeals	Established	Judges	Meeting places	Chief judge
Southern District of Ohio	S.D. Ohio	6th	1803	8	5	Susan J. Dlott
Eastern District of Oklahoma	E.D. Ok. or E.D. Okla.	10th	1906	2	8	James H. Payne
Northern District of Oklahoma	N.D. Ok. or N.D. Okla.	10th	1925	4	5	Gregory Kent Frizzell
Western District of Oklahoma	W.D. Ok. or W.D. Okla.	10th	1906	7	10	Vicki Miles-LaGrange
District of Oregon	D. Or. or D. Ore.	9th	1859	6	7	Ann L. Aiken
Eastern District of Pennsylvania	E.D. Pa.	3rd	1789	22	5	Petrese B. Tucker
Middle District of Pennsylvania	M.D. Pa.	3rd	1901	6	5	Yvette Kane
Western District of Pennsylvania	W.D. Pa.	3rd	1789	10	3	Joy Flowers Conti
District of Puerto Rico	D.P.R.	1st	1966	7	3	Aida Delgado-Colon
District of Rhode Island	D.R.I.	1st	1790	3	1	Mary M. Lisi
District of South Carolina	D.S.C.	4th	1789	10	11	Terry L. Wooten
District of South Dakota	D.S.D.	8th	1889	3	5	Jeffrey L. Viken
Eastern District of Tennessee	E.D. Tenn.	6th	1797	5	4	Thomas A. Varlan
Middle District of Tennessee	M.D. Tenn.	6th	1839	4	3	William Joseph Haynes, Jr.
Western District of Tennessee	W.D. Tenn.	6th	1797	5	3	J. Daniel Breen
Eastern District of Texas	E.D. Tex.	5th	1845	8	7	Leonard Davis
Northern District of Texas	N.D. Tex.	5th	1879	12	7	Sidney A. Fitzwater
Southern District of Texas	S.D. Tex.	5th	1902	19	7	Ricardo Hinojosa
Western District of Texas	W.D. Tex.	5th	1845	13	8	Samuel Frederick Biery, Jr.
District of Utah	D. Utah	10th	1894	5	4	Ted Stewart
District of Vermont	D. Vt.	2nd	1791	2	7	Christina Reiss
District of the Virgin Islands	D.V.I.	3rd	1936	2	2	Curtis V. Gomez
Eastern District of Virginia	E.D. Va.	4th	1789	11	4	Rebecca Beach Smith
Western District of Virginia	W.D. Va.	4th	1789	4	7	Glen E. Conrad
Eastern District of Washington	E.D. Wash.	9th	1890	4	4	Rosanna M. Peterson
Western District of Washington	W.D. Wash.	9th	1890	8	3	Marsha J. Pechman
Northern District of West Virginia	N.D. W. Va.	4th	1864	3	5	John Preston Bailey
Southern District of West Virginia	S.D. W. Va.	4th	1864	5	6	Joseph Robert Goodwin
Eastern District of Wisconsin	E.D. Wis.	7th	1848	5	3	William C. Griesbach
Western District of Wisconsin	W.D. Wis.	7th	1848	2	5	William M. Conley
