Season	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1975/1976	Thomas Kihlström , Lidingö	Eva Stuart , MFF MAI	Bengt Fröman Thomas Kihlström , IFK Lidingö	Karin Lindquist Eva Stuart , IFK Lidingö MFF MAI	Claes Nordin Anette Börjesson , GBK
1976/1977	Sture Johnsson , Spårvägen	Anette Börjesson , GBK	Bengt Fröman Thomas Kihlström , IFK Lidingö	Britt-Marie Larsson Agneta Lundh , MFF	Lars Wengberg Anette Börjesson , BK Aura GBK
1978/1979	Sture Johnsson , Malmö FF	Anette Börjesson , GBK	Bengt Fröman Thomas Kihlström , IFK Lidingö	Lena Axelsson Karin Lindquist , IFK Lidingö	Lars Wengberg Anette Börjesson , BK Aura GBK
1979/1980	Thomas Kihlström , Lidingö	Anette Börjesson , GBK	Stefan Karlsson Claes Nordin , BK Aura GBK	Lena Axelsson Karin Lindquist , IFK Lidingö	Lars Wengberg Anette Börjesson , BK Aura GBK
1980/1981	Thomas Kihlström , BKC	Lena Axelsson , IFK Lidingö	Stefan Karlsson Thomas Kihlström , BK Aura BKC	Carina Andersson Cecilia Jeppson , BK Aura	Lars Wengberg Anette Börjesson , BK Aura GBK
1983/1984	Stefan Karlsson , BK Aura	Christine Magnusson , BKC	Stefan Karlsson Thomas Kihlström , BK Aura BKC	Maria Bengtsson Christine Magnusson , BK Aura BKC	Thomas Kihlström Christine Magnusson , BKC
1984/1985	Stefan Karlsson , BK Aura	Christine Magnusson , BKC	Stefan Karlsson Thomas Kihlström , BK Aura BKC	Maria Bengtsson Christine Magnusson , BK Aura BKC	Thomas Kihlström Christine Magnusson , BKC
1986/1987	Ulf Johansson , Göteborgs BK	Christine Magnusson , BKC	Stefan Karlsson Thomas Kihlström , BK Aura BKC	Maria Bengtsson Christine Magnusson , BK Aura BKC	Thomas Kihlström Christine Magnusson , BKC
1998/1999	Rikard Magnusson , BK Aura	Margit Borg , Malmö BK	Peter Axelsson Pär-Gunnar Jönsson , Täby BMF	Kristin Evernäs Jenny Karlsson , Askim BC GBK	Fredrik Bergström Jenny Karlsson , IFK Umeå GBK
1999/2000	Tomas Johansson , Västra Frölunda BK	Marina Andrievskaya , Uppsala KFUM	Peter Axelsson Pär-Gunnar Jönsson , Täby BMF	Jenny Karlsson Anna Lundin , IFK Umeå Täby BMF	Fredrik Bergström Jenny Karlsson , IFK Umeå
2002/2003	Rasmus Wengberg , IFK Umeå	Marina Andrievskaya , Uppsala KFUM	Henrik Andersson Fredrik Bergström , IFK Umeå	Johanna Persson Elin Bergblom , Täby BMF	Jörgen Olsson Frida Andreasson , Göteborgs BK
2005/2006	George Rimarcdi , Uppsala KFUM	Sara Persson , GBK	Joacim Andersson Yi Zhang , Täby BMF	Elin Bergblom Johanna Persson , Uppsala KFUM GBK	Henri Hurskainen Johanna Persson BK Aura/GBK
