Townland	Area( acres )	Barony	Civil parish	Poor law union
Dromdour	133	Bear	Kilcaskan	Bantry
Dromgare	44	Bear	Killaconenagh	Castletown
Dromgarvan	230	Bear	Kilcaskan	Castletown
Drumaclarig	117	Bear	Kilcaskan	Bantry
Drumlave	364	Bear	Kilcaskan	Castletown
Dunboy	203	Bear	Killaconenagh	Castletown
Eskenacartan	17	Bear	Killaconenagh	Castletown
Esknamucky	153	Bear	Kilcaskan	Bantry
Eyeries	604	Bear	Kilcatherine	Castletown
Eyeries Island	2	Bear	Kilcatherine	Castletown
Faha East	126	Bear	Kilcaskan	Castletown
Faha West	250	Bear	Kilcaskan	Castletown
Fanahy	976	Bear	Killaconenagh	Castletown
Faunkill and the Woods	370	Bear	Kilcatherine	Castletown
Felane East	109	Bear	Killaconenagh	Castletown
Felane Middle	195	Bear	Killaconenagh	Castletown
Felane West	202	Bear	Killaconenagh	Castletown
Foildarrig	472	Bear	Killaconenagh	Castletown
Fuhur	460	Bear	Killaconenagh	Castletown
Furkeal	444	Bear	Kilcaskan	Bantry
Garinish	110	Bear	Kilnamanagh	Castletown
Garinish	36	Bear	Kilcaskan	Bantry
Garinish Island	4	Bear	Kilnamanagh	Castletown
Garinish West	5	Bear	Kilcaskan	Castletown
Garranes	606	Bear	Kilnamanagh	Castletown
Glanarough	215	Bear	Kilnamanagh	Castletown
Glenbeg	1203	Bear	Kilcatherine	Castletown
Glengarrif	74	Bear	Kilcaskan	Bantry
Glenlough	1726	Bear	Kilcaskan	Castletown
Gortagenerick	65	Bear	Killaconenagh	Castletown
Gortagoulane	20	Bear	Killaconenagh	Castletown
Gortagraffer	61	Bear	Killaconenagh	Castletown
Gortatornora	17	Bear	Kilcatherine	Castletown
Gortgarriff	255	Bear	Kilcatherine	Castletown
Gortroe Lower	96	Bear	Kilcaskan	Bantry
Gortroe Upper	77	Bear	Kilcaskan	Bantry
Gortsallagh	24	Bear	Killaconenagh	Castletown
Gour	739	Bear	Killaconenagh	Castletown
Gowlane	1171	Bear	Kilcatherine	Castletown
Greenane	809	Bear	Killaconenagh	Castletown
Illanebeg	7	Bear	Kilnamanagh	Castletown
Illaunard	1	Bear	Kilnamanagh	Castletown
Illaunbweeheen	2	Bear	Kilcatherine	Castletown
Illauncohid	1	Bear	Kilnamanagh	Castletown
Illauncreagh	1	Bear	Kilcaskan	Castletown
Illaunnamcaula	2	Bear	Kilcatherine	Castletown
Inches	850	Bear	Kilcatherine	Castletown
Inchintaggart	145	Bear	Kilcaskan	Bantry
Inchintaglin	1140	Bear	Kilcaskan	Castletown
Inchinteskin	86	Bear	Kilcatherine	Castletown
Inishfarnard	64	Bear	Kilcatherine	Castletown
Iskanamucky	9	Bear	Killaconenagh	Castletown
Kealagowlane	787	Bear	Kilcaskan	Castletown
Kealoge	327	Bear	Kilnamanagh	Castletown
Keamnalicky	7	Bear	Killaconenagh	Castletown
Keeltrasna	156	Bear	Kilcaskan	Castletown
Kilcaskan	942	Bear	Kilcaskan	Castletown
Kilcatherine	2097	Bear	Kilcatherine	Castletown
Kildromalive	425	Bear	Kilcaskan	Castletown
Kilkinnikin East	331	Bear	Kilnamanagh	Castletown
Kilkinnikin West	401	Bear	Kilnamanagh	Castletown
Killenough	83	Bear	Kilcaskan	Castletown
Killough East	387	Bear	Kilnamanagh	Castletown
Killough West	364	Bear	Kilnamanagh	Castletown
Kilmackowen	1154	Bear	Kilcatherine	Castletown
Kilmichael	480	Bear	Kilnamanagh	Castletown
Knockacullin	80	Bear	Killaconenagh	Castletown
Knockane	103	Bear	Killaconenagh	Castletown
Knockane More	26	Bear	Killaconenagh	Castletown
Knockaneroe	134	Bear	Killaconenagh	Castletown
Knockoura	821	Bear	Killaconenagh	Castletown
Knockroe East	357	Bear	Kilnamanagh	Castletown
Knockroe Middle	339	Bear	Kilnamanagh	Castletown
Knockroe West	242	Bear	Kilnamanagh	Castletown
Lackavane	620	Bear	Kilcaskan	Castletown
Leahill	376	Bear	Kilcaskan	Castletown
Leitrim Beg	173	Bear	Kilcaskan	Castletown
Leitrim More	93	Bear	Kilcaskan	Castletown
Lickbarrahane	241	Bear	Kilnamanagh	Castletown
Lickeen East	222	Bear	Kilcaskan	Bantry
Lickeen West	149	Bear	Kilcaskan	Bantry
Little Island	1	Bear	Kilnamanagh	Castletown
Long Island	6	Bear	Kilnamanagh	Castletown
Loughane Beg	276	Bear	Kilnamanagh	Castletown
Loughane More	387	Bear	Kilnamanagh	Castletown
Loughavaul	518	Bear	Kilcaskan	Bantry
Loughure Island	2	Bear	Kilcaskan	Castletown
Lyre	201	Bear	Kilcaskan	Bantry
Lyre	82	Bear	Killaconenagh	Castletown
Meenaduff	32	Bear	Killaconenagh	Castletown
Minane Island	2	Bear	Killaconenagh	Castletown
Minanekeal	1	Bear	Killaconenagh	Castletown
Monteensudder	130	Bear	Kilcaskan	Bantry
Muccurragh	309	Bear	Kilcaskan	Bantry
Orthon's Island	1	Bear	Kilcaskan	Castletown
Park	198	Bear	Killaconenagh	Castletown
Reen	40	Bear	Kilcaskan	Castletown
Reenabulliga	334	Bear	Kilcaskan	Castletown
Reenmeen East	133	Bear	Kilcaskan	Bantry
Reenmeen West	104	Bear	Kilcaskan	Bantry
Reentrusk	1424	Bear	Kilnamanagh	Castletown
Rerrin	291	Bear	Killaconenagh	Castletown
Rodeen	564	Bear	Killaconenagh	Castletown
Roosk	437	Bear	Kilcaskan	Castletown
Rossmackowen Commons	2453	Bear	Killaconenagh	Castletown
Rossnagrena	429	Bear	Kilcaskan	Bantry
Rossnashunsoge	100	Bear	Kilcaskan	Bantry
Rougham	1068	Bear	Kilcaskan	Bantry
Scart	19	Bear	Killaconenagh	Castletown
Scrivoge	210	Bear	Kilnamanagh	Castletown
Scrough Island	1	Bear	Kilnamanagh	Castletown
Shanacoumha	28	Bear	Killaconenagh	Castletown
Shanavallyleigh	85	Bear	Killaconenagh	Castletown
Sheelane Island	1	Bear	Kilcaskan	Castletown
Shrone	394	Bear	Kilcaskan	Bantry
Skehil	323	Bear	Kilcaskan	Bantry
Teernahillane	282	Bear	Killaconenagh	Castletown
The Bull Island	1	Bear	Kilnamanagh	Castletown
The Calf Island	1	Bear	Kilnamanagh	Castletown
The Cow Island	1	Bear	Kilnamanagh	Castletown
The Woods & Faunkill	370	Bear	Kilcatherine	Castletown
Thornhill	219	Bear	Killaconenagh	Castletown
Tilickafinna	510	Bear	Kilnamanagh	Castletown
Tooreen	556	Bear	Kilcaskan	Bantry
Tooreen	9	Bear	Killaconenagh	Castletown
Tooreen Beg	155	Bear	Killaconenagh	Castletown
Tooreen More East	188	Bear	Killaconenagh	Castletown
Tooreen More West	167	Bear	Killaconenagh	Castletown
Tooreennagrena	504	Bear	Kilcaskan	Castletown
Tracashel	166	Bear	Kilcaskan	Kinsale
Trafrask East	194	Bear	Kilcaskan	Castletown
Trafrask West	122	Bear	Kilcaskan	Castletown
Ulusker	83	Bear	Kilcaskan	Castletown
Urhin	1480	Bear	Kilcatherine	Castletown
