Date	Event #	Event	Winner	Prize	Entries	Prize Pool	Elapsed Time
May 10	7L	$16.50 Heads-up No Limit Hold'em	1Cyka	$17,597.55*	10,695	$160,425	11 h 54 min
May 10	7M	$162 Heads-up No Limit Hold'em	Nzame	$38,000*	1,942	$291,300	13 h 38 min
May 10	7H	$1,575 Heads-up No Limit Hold'em	Big_Nemo	$81,665	269	$403,500	9 h 48 min
May 10	8L	$11 No Limit Hold'em [Turbo]	müllex84	$21,438.10	22,551	$225,510	5 h 22 min
May 10	8M	$109 No Limit Hold'em [Turbo]	power_up45	$23,000*	4,803	$480,300	5 h 01 min
May 10	8H	$1,050 No Limit Hold'em [Turbo]	JeankeNissan	$92,417.42	646	$646,000	3 h 49 min
May 11	9L	$22 Mixed Hold'em [6-max]	christian129	$13,398.45	4,392	$87,840	12 h 35 min
May 11	9M	$215 Mixed Hold'em [6-max]	-DrawingDad-	$24,444.00	679	$135,800	12 h 15 min
May 11	9H	$2,100 Mixed Hold'em [6-max]	StatusUp (Jason Lavalee)	$56,680	109	$218,000	13 h 46 min
May 11	10L	$33 Seven-Card Stud	Rey_Pajote	$7,980.20	1,520	$45,600	10 h 19 min
May 11	10M	$320 Seven-Card Stud	Hood_Ace	$11,614.50	178	$53,400	10 h 33 min
May 11	10H	$3,150 Seven-Card Stud	HN Kakaroto (Hernan Novick)	$34,500	23	$69,000	9 h 06 min
May 12	11L	$22 Heads-up Pot-Limit Omaha	YouPayMyF458	$10,621.60	3,124	$62,480	13 h 50 min
May 12	11M	$215 Heads-up Pot-Limit Omaha	uri1013	$25,520	638	$127,600	15 h 06 min
May 12	11H	$2,100 Heads-up Pot-Limit Omaha	Sir_winalot9 (Erlend Melsom)	$76,200	127	$254,000	12 h 40min
May 12	12L	$27 No Limit Hold’em [Knockout]	woooooza	$29,481.24*	16,279	$325,580	[2-Day] event
May 12	12M	$265 No Limit Hold’em [Knockout]	tupacmn	$81,536.00	2,548	$509,600	[2-Day] event
May 12	12H	$2,600 No Limit Hold’em [Knockout]	flashdisastr	$95,019.71*	277	$554,000	[2-Day] event
May 13	13L	$16.50 No Limit Hold’em [Ante Up]	RusAttack666	$17,741.86*	7,907	$118,605	15 h 39 min
May 13	13M	$162 No Limit Hold’em [Ante Up]	JustSaba	$31,696.84	1,243	$186,450	15h 23 min
May 13	13H	$1,575 No Limit Hold’em [Ante Up]	JIZOINT (Charlie Combes)	$55,147.50	171	$256,500	15h 37 min
May 13	14L	$55 Limit Omaha H/L	Kecinpulach	$10,141.20*	1,849	$92,450	10 h 24 min
May 13	14M	$530 Limit Omaha H/L	crazy169	$19,942.76*	220	$110,000	10 h 15 min
May 13	14H	$5,200 Limit Omaha H/L	Kroko-dill (Andrey Zaichenko)	$63,000.00	28	$140,000	9 h 39 min
May 13	15L	$16.50 No Limit Hold’em [2X Chance, Turbo]	Raziel2689	$34,895.45	11,284 (5,755 re-buys)	$255,585	5 h 27 min
May 13	15M	$162 No Limit Hold’em [2X Chance, Turbo]	pokerwille	$62,121.41*	1,969 (862 re-buys)	$424,650	4 h 36 min
May 13	15H	$1,575 No Limit Hold’em [2X Chance, Turbo]	Eifffel	$137,117.25	307 (140 re-buys)	$670,500	3 h 39 min
May 14	16L	$22 No Limit Hold’em [4x-Shootout, 10 player Max]	pikul1980	$16,411.05	5,209	$104,180	13 h 18 min
May 14	16M	$215 No Limit Hold’em [3x-Shootout, 10 player Max]	kay3000	$29,200	800	$160,000	11h 49 min
May 14	17L	$16.50 Pot Limit Omaha w/rebuys [6-Max]	Radoom	$22,649.29*	3,528 (4,540 R, 2,380 A)	$156,720	11 h 53 min
May 14	17M	$162 Pot Limit Omaha w/rebuys [6-Max]	Chilax Chuck	$48,963	577 (717 R, 424 A)	$257,700	11 h 26 min
May 14	17H	$1,575 Pot Limit Omaha w/rebuys [6-Max]	adiprene1	$108,318.75	98 (89 R, 78 A)	$397,500	13 h 32 min
May 14	18L	$22 Ttiple Stud [Turbo]	lili275	$5,934.08	1,705	$34,100	3 h 54 min
May 14	18M	$215 Ttiple Stud[Turbo]	mojocha	$10,218.00	262	$52,400	2 h 51 min
May 14	18H	$2,100 Ttiple Stud [Turbo]	S.Ruthenberg ( Sebastian Ruthenberg )	$35,106.87*	48	$96,000	2 h 36 min
May 15	19L	$22 No Limit Hold’em	pash123	$41,032.17	20,510	$410,200	14 h 15 min
May 15	19M	$215 No Limit Hold’em	Simaska	$138,003	4,395	$879,000	16 h 44 min
May 15	19H	$2,100 No Limit Hold’em	Paolo69	$188,100	495	$990,000	17 h 21 min
May 15	20L	$22 No Limit Hold’em	dejwiz	$44,141.63	22,065	$441,300	[2-Day] event
May 15	20M	$215 No Limit Hold’em	vonBaranow	$176,272.86	6,449	$1,289,800	[2-Day] event
May 15	20H	$2,100 No Limit Hold’em	CuCbKu (Andrej Mitlyanski)	$253,048	673	$1,346,000	[2-Day] event
May 16	21L	$16.50 Mixed Pot Limit Hold’em/Omaha	-DrawingDad-	$12,210.25*	5,720	$85,800	11 h 59 min
May 16	21M	$162 Mixed Pot Limit Hold’em/Omaha	NhFy	$26,849.17*	1,142	$171,300	13 h 11 min
May 16	21H	$1,575 Mixed Pot Limit Hold’em/Omaha	xXprivXx	$70,305.00	218	$327,000	13 h 22 min
May 16	22L	$33 No Limit Hold'em [4-Max]	dippidude	$10,324.17*	7,052	$211,560	12 h 53 min
May 16	22M	$320 No Limit Hold'em [4-Max]	danskemann (Marius Olsvik)	$55,008.00	1,146	$343,800	12 h 53 min
May 16	22H	$3,150 No Limit Hold'em [4-Max]	doncarignano	$122,200.44*	177	$531,000	13 h 45 min
May 16	23L	$11 Pot Limit Omaha [1R1A] [Turbo]	I has it	$10,176.63*	4,719 (3,419 R, 1,968 A)	$101,060	4 h 31 min
May 16	23M	$109 Pot Limit Omaha [1R1A] [Turbo]	Iftarii (Jonathan Jaffe)	$32,145.59*	1,838 (? R, ? A)	$212,700	4 h 02 min
May 16	23H	$1,050 Pot Limit Omaha [1R1A] [Turbo]	alexandrapau	$84,065.00	183(125 R, 83 A)	$391,000	3 h 0 min
May 17	24L	$11 2-7 Triple Draw	Moondog711	$3,019.62*	2,440	$24,400	12 h 37 min
May 17	24M	$109 2-7 Triple Draw	RectalRash	$4,122.28*	405	$40,500	12 h 48 min
May 17	24H	$1,050 2-7 Triple Draw	Lance84	$24,300	140	$81,000	13 h 24 min
May 17	25L	$22 7 Card Stud H/L	magic_maniac	$5,934.87*	2,012	$40,240	11 h 13 min
May 17	25M	$215 7 Card Stud H/L	cal42688 (Calvin Anderson)	$13,090.00	340	$68,000	11 h 49 min
May 17	25H	$2,100 7 Card Stud H/L	skalexjung (Alex Jung)	$33,583.04*	54	$108,000	11 h 21 min
May 17	26L	$11 No Limit Hold'em [Turbo]	ironyorick	$20,538.91	20,522	$205,220	5 h 17 min
May 17	26M	$109 No Limit Hold'em [Turbo]	dean23price (Dean Price)	$68,217.76	4,345	$434,500	4 h 31 min
May 17	26H	$1,050 No Limit Hold'em [Turbo]	le kork	$134,420	715	$715,000	3 h 49 min
May 18	27L	$22 Razz	polarop	$6,726.26	1,958	$39,160	11 h 29 min
May 18	27M	$215 Razz	diehardmick	$13,051.50	339	$67,800	12 h 29 min
May 18	27H	$2,100 Razz	cal42688 (Calvin Anderson)	$46,200	66	$132,000	13 h 13 min
May 18	28L	$11 No Limit Hold'em w/rebuys [Big Antes]	H.FresnO	$38,739.86	9,719 (11,512 R, 6,436 A)	$276,670	[2-Day] event
May 18	28M	$109 No Limit Hold'em w/rebuys [Big Antes]	OMGitshunt	$66,606	1,342 (1,538 R, 1,038 A)	$391,800	[2-Day] event
May 18	28H	$1,050 No Limit Hold'em w/rebuys [Big Antes]	Banderivets	$134,160	207 (229 R, 188 A)	$624,000	[2-Day] event
May 19	29L	$33 8-Game	raddis89	$7,352.24*	2,100	$63,000	10 h 32 min
May 19	29M	$320 8-Game	Eleint	$20,910	340	$102,000	9 h 45 min
May 19	29H	$3,150 8-Game	Stavros	$56,700	63	$189,000	11 h 10 min
May 19	30L	$11 Pot Limit Omaha H/L	galia32	$6,409.15*	6,257	$62,570	13 h 06 min
May 19	30M	$109 Pot Limit Omaha H/L	phatlat	$22,542	1,326	$132,600	13 h 06 min
May 19	30H	$1,050 Pot Limit Omaha H/L	ozenc (Ozenc Demir)	$38,700	180	$180,000	14 h 25 min
May 20	31L	$22 No Limit Hold'em [1R1A]	Reflexbakker	$44,090.40*	8,562 (6,118 R, 3,332 A)	$360,240	14 h 30 min
May 20	31M	$215 No Limit Hold'em [1R1A]	patinho77	$88,658.56	1,128 (829 R, 579A)	$507,200	14 h 09 min
May 20	31H	$2,100 No Limit Hold'em [1R1A]	Gambit360 (Elad Nosimaj)	$160,080	151 (110 R, 87 A)	$696,000	13 h 19 min
May 20	32L	$55 Limit Hold’em [6-Max]	tremendez	$17,825*	2,543	$127,150	10 h 24 min
May 20	32M	$530 Limit Hold’em [6-Max]	kizoku2008	$27,060	246	$123,000	9 h 11 min
May 20	32H	$5,200 Limit Hold’em [6-Max]	BIack88	$85,100	46	$230,000	8 h 32 min
May 20	33L	$22 No Limit Omaha H/L [10m Levels]	pacolos	$7,700.25*	2,597	$51,940	8 h 50 min
May 20	33M	$215 No Limit Omaha H/L [10m Levels]	maxcon007	$12,425.92*	449	$89,800	6 h 18 min
May 20	33H	$2,100 No Limit Omaha H/L [10m Levels]	lukro8	$45,000	75	$150,000	5 h 54 min
May 21	34L	$55 Pot Limit Omaha [6-Max]	npomocc	$21,861.22*	3,300	$165,000	11 h 11 min
May 21	34M	$530 Pot Limit Omaha [6-Max]	Eleint	$50,920	536	$268,000	9 h 46 min
May 21	34H	$5,200 Pot Limit Omaha [6-Max]	Domce	$130,800	96	$480,000	11 h 37 min
May 21	35L	$270 No Limit Hold'em [Heads-up]	Big_nat123	$40,375*	1,010	$252,500	[2-DAY] Event
May 21	35M	$2,600 No Limit Hold'em [Heads-up]	treezer*	$82,600	152	$380,000	[2-DAY] Event
May 21	35H	$25,500 No Limit Hold'em [Heads-up]	ElkY ( Bertrand Grospellier )	$112,500	9	$250,000	[2-DAY] Event
May 21	36L	$22 HORSE	krendipont	$9,460.64	2,835	$56,700	11 h 04 min
May 21	36M	$215 HORSE	BuklaH	$16,631.41*	486	$97,200	11 h 13 min
May 21	36H	$2,100 HORSE	Donald (Anders Berg)	$36,348.14*	64	$128,000	11 h 12 min
May 22	37L	$22 No Limit Hold’em	lehout	$40,406.38*	17,876	$357,520	14 h 43 min
May 22	37M	$215 No Limit Hold’em	filthyfish	$117,025	3,775	$755,000	16 h 13 min
May 22	37H	$2,100 No Limit Hold’em	hahila	$212,400	558	$1,116,000	19 h 22 min
May 22	38L	$109 No Limit Hold'em Main Event	fittungen	$168,574.13*	16,782	$1,678,200	[2-DAY] Event
May 22	38M	$1,050 No Limit Hold'em Main Event	Goldenboys	$365,386.88*	2,505	$2,505,000	[2-DAY] Event
